period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018,24050607000000.0,0.0,24419335000000.0,-1006229000000.0,6084000000.0,0.0,0.0,374238000000.0,-630944000000.0,0.0,0.0,0.0,131707327000000.0,49001000000.0,155544719000000.0,-1573255000000.0,0.0,1061676000000.0,22721999000000.0,247596000000.0,-71531023000000.0,0.0,-2706866000000.0,-10473502000000.0,47393260000000.0,-3759153000000.0,72880781000000.0,0.0,-430129000000.0,23714586000000.0,0.0,-78750497000000.0,24419335000000.0,0.0,0.0,-5037000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81997808000000.0,-48160147000000.0,3085123000000.0,1729360000000.0,0.0,-269907000000.0,-14727086000000.0,1968711000000.0,1729360000000.0
2019,27683452000000.0,0.0,-1546677000000.0,-378539000000.0,389844000000.0,0.0,304905000000.0,367593000000.0,431949000000.0,586882000000.0,-26124000000.0,560758000000.0,155544719000000.0,55995000000.0,155046744000000.0,-1500561000000.0,0.0,-2320366000000.0,-8477370000000.0,-188546000000.0,-61586214000000.0,0.0,-8758783000000.0,-9951980000000.0,8002734000000.0,-1916553000000.0,66969109000000.0,0.0,-158130000000.0,10849994000000.0,0.0,-21691804000000.0,-1544457000000.0,-2220000000.0,0.0,-251854000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82973160000000.0,-47525820000000.0,4256422000000.0,0.0,2676918000000.0,-205603000000.0,-14329018000000.0,1337954000000.0,2676918000000.0
2020,24298973000000.0,0.0,7845636000000.0,-715459000000.0,108296000000.0,0.0,23990000000.0,67061000000.0,-517385000000.0,0.0,-1881229000000.0,-1881229000000.0,155046744000000.0,-318690000000.0,160175076000000.0,-2631634000000.0,0.0,-2406359000000.0,-11750383000000.0,332590000000.0,-80062325000000.0,0.0,-19710547000000.0,7530708000000.0,-26005705000000.0,19036056000000.0,97546057000000.0,0.0,-3042648000000.0,2809217000000.0,0.0,-729998000000.0,7845636000000.0,0.0,0.0,-1273000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82205508000000.0,-49901673000000.0,4717441000000.0,0.0,3052193000000.0,394785000000.0,-15289442000000.0,1751795000000.0,3052193000000.0
2021,30612531000000.0,0.0,5401509000000.0,-736408000000.0,7371000000.0,0.0,0.0,83771000000.0,-648143000000.0,0.0,-21267000000.0,-21267000000.0,160175076000000.0,-530589000000.0,164376586000000.0,-4000535000000.0,0.0,-9749589000000.0,-59249249000000.0,-1317668000000.0,-115334497000000.0,0.0,-5174930000000.0,-11005715000000.0,-11302784000000.0,10314731000000.0,171516828000000.0,0.0,-205321000000.0,4621215000000.0,0.0,1675957000000.0,5401509000000.0,0.0,0.0,-2877000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82887292000000.0,-42193852000000.0,4953100000000.0,0.0,2473910000000.0,-58016000000.0,-16694320000000.0,3244952000000.0,2473910000000.0
2022,50517333000000.0,0.0,84463729000000.0,-623680000000.0,16841000000.0,0.0,6200000000.0,87736000000.0,-515081000000.0,0.0,-3844600000000.0,-3844600000000.0,164376586000000.0,-182414000000.0,244298220000000.0,-1911799000000.0,0.0,-27273637000000.0,6188335000000.0,-1603937000000.0,-144153942000000.0,0.0,-20194345000000.0,-31999176000000.0,71484898000000.0,70595997000000.0,87327921000000.0,0.0,-135729000000.0,26873634000000.0,0.0,-3163623000000.0,84463729000000.0,0.0,0.0,-2178000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102424705000000.0,-52210737000000.0,6015156000000.0,0.0,3525665000000.0,4505276000000.0,-17193419000000.0,5362486000000.0,3525665000000.0
2023,51185229000000.0,0.0,28768348000000.0,-804101000000.0,10473000000.0,0.0,0.0,92337000000.0,-703882000000.0,0.0,0.0,0.0,244298220000000.0,-59079000000.0,272303607000000.0,-4790442000000.0,0.0,-11169611000000.0,-9929090000000.0,3058727000000.0,-198500870000000.0,0.0,-26755450000000.0,24393073000000.0,-82965197000000.0,94891878000000.0,161723004000000.0,555946000000.0,-154422000000.0,24005308000000.0,0.0,-1570177000000.0,28768348000000.0,0.0,0.0,-2591000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130262777000000.0,-72900489000000.0,7129372000000.0,0.0,4521662000000.0,314913000000.0,-18023866000000.0,4671302000000.0,4521662000000.0
2024,48753805000000.0,0.0,102188686000000.0,-1362079000000.0,15158000000.0,0.0,0.0,20539000000.0,-1329023000000.0,0.0,0.0,1537000000.0,272303607000000.0,154749000000.0,373319556000000.0,-6006343000000.0,0.0,7293627000000.0,-34188919000000.0,-25355000000.0,-248587038000000.0,0.0,-18707196000000.0,14092607000000.0,132469999000000.0,-28180466000000.0,195417647000000.0,-139750000000.0,-57829000000.0,36302363000000.0,0.0,-2254809000000.0,102188686000000.0,0.0,0.0,-2641000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1537000000.0,125647114000000.0,-69067517000000.0,7287579000000.0,0.0,4343826000000.0,-912465000000.0,-20146505000000.0,7608116000000.0,4343826000000.0
2025,57639048000000.0,0.0,82644000000000.0,-2004950000000.0,22267000000.0,0.0,0.0,71352000000.0,-1915192000000.0,0.0,-2416496000000.0,-2416496000000.0,373319556000000.0,113607000000.0,451745475000000.0,-7547490000000.0,0.0,-21930299000000.0,2849602000000.0,-276120000000.0,-270318154000000.0,0.0,-19121116000000.0,-6777765000000.0,-9691747000000.0,141582860000000.0,187415372000000.0,-343169000000.0,-66052000000.0,22352262000000.0,0.0,-670722000000.0,82644000000000.0,0.0,0.0,-3861000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139430552000000.0,-71064497000000.0,6753144000000.0,0.0,3801622000000.0,-440481000000.0,-23284913000000.0,9991111000000.0,3801622000000.0
