period,Tổng lợi nhuận/lỗ trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu (VND),Lãi trên cổ phiếu pha loãng (VND),Thu nhập lãi và các khoản thu nhập tương tự,Chi phí lãi và các chi phí tương tự,Thu nhập lãi thuần,Thu nhập từ dịch vụ,Chi phí dịch vụ,Lãi/Lỗ thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Thu nhập khác,Chi phí khác,Lãi/(lỗ) thuần từ hoạt động khác,Thu nhập từ cổ tức,Tổng thu nhập hoạt động,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Trích lập dự phòng tổn thất tín dụng
2018,6558633000000.0,-1272578000000.0,-8809000000.0,-1281387000000.0,5277246000000.0,-2443000000.0,5274803000000.0,1417.0,0.0,73869866000000.0,-51658034000000.0,22211832000000.0,5963790000000.0,-3193013000000.0,2770777000000.0,709869000000.0,271475000000.0,218321000000.0,2914313000000.0,-1025298000000.0,1889015000000.0,374238000000.0,28445527000000.0,-14084040000000.0,14361487000000.0,-7802854000000.0
2019,11780993000000.0,-2286552000000.0,-17452000000.0,-2304004000000.0,9476989000000.0,-15722000000.0,9461267000000.0,1966.0,0.0,82742771000000.0,-49543734000000.0,33199037000000.0,7888130000000.0,-3832752000000.0,4055378000000.0,1564300000000.0,365564000000.0,-790728000000.0,2357430000000.0,-859995000000.0,1497435000000.0,628400000000.0,40519386000000.0,-15734862000000.0,24784524000000.0,-13003531000000.0
2020,17119816000000.0,-3322056000000.0,-12552000000.0,-3334608000000.0,13785208000000.0,-65006000000.0,13720202000000.0,3200.0,0.0,83676516000000.0,-48096888000000.0,35579628000000.0,8358635000000.0,-3996181000000.0,4362454000000.0,1999721000000.0,601275000000.0,360950000000.0,2714619000000.0,-785226000000.0,1929393000000.0,524038000000.0,45357459000000.0,-16069428000000.0,29288031000000.0,-12168215000000.0
2021,17589156000000.0,-3412160000000.0,38346000000.0,-3373814000000.0,14215342000000.0,-126582000000.0,14088760000000.0,2510.0,0.0,84628302000000.0,-42839837000000.0,41788465000000.0,9572678000000.0,-4612172000000.0,4960506000000.0,1812484000000.0,495864000000.0,223865000000.0,4516269000000.0,-1118203000000.0,3398066000000.0,477382000000.0,53156632000000.0,-17185850000000.0,35970782000000.0,-18381626000000.0
2022,21131873000000.0,-4147777000000.0,-451000000.0,-4148228000000.0,16983645000000.0,-59920000000.0,16923725000000.0,2703.0,0.0,104664634000000.0,-56872679000000.0,47791955000000.0,11549069000000.0,-5687120000000.0,5861949000000.0,3555521000000.0,-112163000000.0,-30184000000.0,7507011000000.0,-969157000000.0,6537854000000.0,512244000000.0,64117176000000.0,-19194714000000.0,44922462000000.0,-23790589000000.0
2023,24989525000000.0,-4944844000000.0,-59000000.0,-4944903000000.0,20044622000000.0,-141072000000.0,19903550000000.0,3200.0,0.0,132671737000000.0,-79714259000000.0,52957478000000.0,12384836000000.0,-5271107000000.0,7113729000000.0,4248109000000.0,292626000000.0,-154121000000.0,7080218000000.0,-1277142000000.0,5803076000000.0,287268000000.0,70548165000000.0,-20443499000000.0,50104666000000.0,-25115141000000.0
2024,31763925000000.0,-6285898000000.0,4540000000.0,-6281358000000.0,25482567000000.0,-134352000000.0,25348215000000.0,4720.0,0.0,124460685000000.0,-62057891000000.0,62402794000000.0,12232801000000.0,-5536813000000.0,6695988000000.0,4196682000000.0,91829000000.0,-288044000000.0,10687733000000.0,-2268947000000.0,8418786000000.0,390648000000.0,81908683000000.0,-22545929000000.0,59362754000000.0,-27598829000000.0
2025,43443809000000.0,-8568608000000.0,-3935000000.0,-8572543000000.0,34871266000000.0,-266785000000.0,34604481000000.0,4455.0,0.0,143142328000000.0,-76689083000000.0,66453245000000.0,12351055000000.0,-6022104000000.0,6328951000000.0,3120501000000.0,703793000000.0,152570000000.0,11772802000000.0,-1677440000000.0,10095362000000.0,440367000000.0,87294789000000.0,-26552924000000.0,60741865000000.0,-17298056000000.0
