period,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113
2018,3723404556,79122346815000.0,0.0,29.3462096057,1.6889184683,3.9792372221,4.6353227817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805184758,0.0046714717,0.0,0.0,0.0,0.5048768124,0.0,0.2305681663,0.185521119,0.0,0.0204899763,0.0681434923,-0.0529327872,0.2637989068,-0.4951231876,0.0938902367,0.0967955378,0.0613655158,0.0778290143,0.0578175142,1.0473590041,0.0158503142,-0.9526320289,0.0150995169,-0.0094259338,0.0,0.0,0.0,0.0,0.0,0.0,-0.4951231876,0.0,,0.1589260829,124039627000000.0,3136554000000.0,4067540000000.0,825816119000000.0
2019,3723404556,71489367475200.0,0.0164473684,15.466481454,1.4739744198,2.7935146855,-73.1836704367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1310142191,0.0078810682,0.0,0.0,0.0,0.6116707691,0.0,0.2907495439,0.2338877741,0.0,0.0286833001,0.0714880895,-0.0455371526,0.2015705757,-0.3883292309,0.0813306586,0.0810944561,0.0664927798,0.0827084583,0.0623471448,1.047587836,0.0115617951,-1.1971887502,0.013841651,-0.0144467875,0.0,0.0,0.0,0.0,0.0,0.0,-0.3883292309,0.09,,0.1701684361,146420659000000.0,3166569000000.0,2336638000000.0,892785228000000.0
2020,3723404556,148005331101000.0,0.0235988201,11.5725115236,1.488263756,2.7853169255,16.0883599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690430219,0.0106556513,0.0,0.0,0.0,0.6450516594,0.0,0.3770038921,0.303574867,0.0,0.0286414014,0.0673578201,-0.040876804,0.2589194029,-0.3549483406,0.0856033489,0.1092603842,0.0680012222,0.084121394,0.0636714835,1.0252460822,0.0093753463,-1.3195996135,0.0123717033,-0.0124548454,0.0,0.0,0.0,0.0,0.0,0.0,-0.3549483406,0.0,,0.1961011845,186452167000000.0,4893484000000.0,2859487000000.0,990331285000000.0
2021,4805750609,135522167173800.0,0.0,10.792404747,1.4088222425,2.4636004751,24.2444664722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1587767406,0.0098957354,0.0,0.0,0.0,0.6766941517,0.0,0.3308929731,0.2674236773,0.0,0.0301576191,0.0610739854,-0.03267976,0.2606170148,-0.3233058483,0.1135927487,0.173191366,0.0651276469,0.0828267275,0.0611453915,0.9731631479,0.0126478046,-1.8037946319,0.0228140421,-0.0171310504,0.0,0.0,0.0,0.0,0.0,0.0,-0.3233058483,0.0914,,0.2009978029,225756534000000.0,5077589000000.0,2694795000000.0,1161848113000000.0
2022,4805750609,139847342721900.0,0.0,9.0064928666,1.2123057925,2.0312315134,1.5419144146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166834112,0.0100807829,0.0,0.0,0.0,0.7035490447,0.0,0.3266865304,0.2625680459,0.0,0.0297935698,0.0652480752,-0.0372541226,0.3308609367,-0.2964509553,0.127494518,0.0751629409,0.0636182248,0.084849243,0.0598130263,1.0205300729,0.0123946587,-1.8836700635,0.0233474476,-0.0200900293,0.0,0.0,0.0,0.0,0.0,0.0,-0.2964509553,0.0898,,0.2002247859,243525291000000.0,4300103000000.0,2290610000000.0,1249176034000000.0
2023,5369991748,192782703753200.0,0.0,11.7368940682,1.6237477963,2.8772638702,7.0558687019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711839295,0.010436036,0.0,0.0,0.0,0.7102192665,0.0,0.3542193479,0.2841267664,0.0,0.0286078079,0.0716697189,-0.0454579308,0.3267417493,-0.2897807335,0.1557060453,0.1294637422,0.066014088,0.0854327108,0.0619260934,1.0442593866,0.0112725376,-1.6722281925,0.0188502552,-0.0182775987,0.0,0.0,0.0,0.0,0.0,0.0,-0.2897807335,0.0931,,0.2254670373,310918934000000.0,5057288000000.0,2135004000000.0,1410899038000000.0
2024,5369991748,202717188487000.0,0.0125874126,8.6381478222,1.3012405995,2.3437955079,1.8786541915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857488845,0.0115357896,0.0,0.0,0.0,0.7247431142,0.0,0.3877967981,0.3111094705,0.0,0.0288603186,0.057561125,-0.0307154124,0.3063202747,-0.2752568858,0.1687386346,0.1385057625,0.0663891256,0.0862419359,0.0622560039,1.0719895585,0.0121895,-1.7467618864,0.021292154,-0.0172746442,0.0,0.0,0.0,0.0,0.0,0.0,-0.2752568858,0.0954,,0.2484642074,383283642000000.0,5848779000000.0,9979781000000.0,1606316685000000.0
2025,7766944637,272231409526850.0,0.0,8.2705195514,1.4624344462,2.9895179489,3.1577529955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125261854,0.0135341265,0.0,0.0,0.0,0.6958246385,0.0,0.497667839,0.3994656084,0.0,0.0262384002,0.0565183188,-0.0325057111,0.3070004633,-0.3041753615,0.1569833119,0.116673987,0.0694172837,0.0901759031,0.0649113164,1.1106858799,0.0110005995,-1.5883397374,0.0174726894,-0.0093144836,0.0,0.0,0.0,0.0,0.0,0.0,-0.3041753615,0.0989,,0.2553893249,445508702000000.0,6803922000000.0,5787395000000.0,1793732057000000.0
