period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018,7028347000000.0,11139862000000.0,6194652000000.0,13919662000000.0,-7725010000000.0,0.0,0.0,0.0,4945210000000.0,6447395000000.0,-1502185000000.0,0.0,0.0,0.0,3317405000000.0,0.0,2906452000000.0,412645000000.0,-1692000000.0,1164289661000000.0,1096973327000000.0,67316334000000.0,37234046000000.0,8974698000000.0,207470000000.0,0.0,0.0,599602000000.0,11836676000000.0,0.0,1164289661000000.0,23182208000000.0,130512012000000.0,3131835000000.0,3279561000000.0,-147726000000.0,281166000000.0,851865984000000.0,864925948000000.0,-13059964000000.0,102100093000000.0,88586344000000.0,16207592000000.0,-2693843000000.0,31730749000000.0,62600159000000.0,111399612000000.0,825816119000000.0,0.0,5934029000000.0,46216359000000.0,45007049000000.0,46416214000000.0,0.0,0.0,8167617000000.0,57429323000000.0,3058616000000.0,2507667000000.0,2724166000000.0,162095267000000.0,0.0,0.0,52935903000000.0,37414889000000.0,296225000000.0,126276846000000.0,4235166000000.0,0.0,0.0,0.0,0.0,21741493000000.0,6593324000000.0,0.0,3404868000000.0,907000000.0,-8936000000.0,73941924000000.0,37457688000000.0,15820561000000.0,0.0,28763344000000.0,423144000000.0,2906452000000.0,0.0
2019,8282726000000.0,10996975000000.0,6422382000000.0,14817602000000.0,-8395220000000.0,0.0,0.0,0.0,4574593000000.0,6302326000000.0,-1727733000000.0,0.0,0.0,0.0,3282709000000.0,0.0,3018057000000.0,264652000000.0,0.0,1240711475000000.0,1163356657000000.0,77354818000000.0,37234046000000.0,8974683000000.0,515908000000.0,0.0,0.0,626014000000.0,19832683000000.0,0.0,1240711475000000.0,24873714000000.0,129388518000000.0,3825374000000.0,4051245000000.0,-225871000000.0,469712000000.0,922325251000000.0,935270945000000.0,-12945694000000.0,104615279000000.0,97131629000000.0,15367993000000.0,-7884343000000.0,32651217000000.0,70602893000000.0,109483059000000.0,892785228000000.0,0.0,5775899000000.0,57066353000000.0,27643225000000.0,46724637000000.0,0.0,0.0,9610061000000.0,51550780000000.0,526118000000.0,4525641000000.0,4741892000000.0,180917927000000.0,0.0,0.0,34487895000000.0,20798816000000.0,561423000000.0,123084758000000.0,6303760000000.0,0.0,0.0,0.0,0.0,22349498000000.0,6675886000000.0,91609000000.0,3545301000000.0,0.0,-11077000000.0,82538040000000.0,26945019000000.0,17835374000000.0,117066000000.0,9205097000000.0,485688000000.0,3018057000000.0,0.0
2020,9930181000000.0,10824970000000.0,6423208000000.0,15457388000000.0,-9034180000000.0,0.0,0.0,0.0,4401762000000.0,6387433000000.0,-1985671000000.0,0.0,0.0,0.0,3335507000000.0,0.0,3117572000000.0,240662000000.0,-22727000000.0,1341509978000000.0,1256070754000000.0,85439224000000.0,37234046000000.0,8974698000000.0,515908000000.0,0.0,0.0,481781000000.0,26027244000000.0,0.0,1341509978000000.0,57616650000000.0,102532818000000.0,5601747000000.0,5723160000000.0,-121413000000.0,137122000000.0,1002750890000000.0,1015333270000000.0,-12582380000000.0,114941998000000.0,112677836000000.0,2616778000000.0,-352616000000.0,33838095000000.0,44597188000000.0,128519115000000.0,990331285000000.0,0.0,2733251000000.0,59875570000000.0,30014345000000.0,46724652000000.0,0.0,0.0,11605468000000.0,50018900000000.0,7995477000000.0,13463062000000.0,13673951000000.0,275964623000000.0,0.0,0.0,48283386000000.0,52679205000000.0,600079000000.0,92628245000000.0,9904573000000.0,0.0,0.0,0.0,0.0,22843565000000.0,7797843000000.0,0.0,3270000000000.0,0.0,-73313000000.0,98537440000000.0,29981675000000.0,16085370000000.0,38008000000.0,13120952000000.0,770015000000.0,3117572000000.0,0.0
2021,11330659000000.0,10496152000000.0,6192822000000.0,15773302000000.0,-9580480000000.0,0.0,0.0,0.0,4303330000000.0,6627694000000.0,-2324364000000.0,0.0,0.0,0.0,3290027000000.0,0.0,3073356000000.0,240662000000.0,-23991000000.0,1531587398000000.0,1437937887000000.0,93649511000000.0,48057506000000.0,8974698000000.0,515908000000.0,0.0,0.0,245231000000.0,21488131000000.0,0.0,1531587398000000.0,23383443000000.0,149316646000000.0,2475309000000.0,2522807000000.0,-47498000000.0,1454790000000.0,1104872665000000.0,1130667767000000.0,-25795102000000.0,177544548000000.0,174973469000000.0,2696832000000.0,-125753000000.0,47423159000000.0,33294404000000.0,138833846000000.0,1161848113000000.0,0.0,2527930000000.0,64496785000000.0,36936809000000.0,57548112000000.0,0.0,0.0,13673265000000.0,60180414000000.0,3237485000000.0,5748679000000.0,5964386000000.0,467672002000000.0,0.0,0.0,46584571000000.0,104576907000000.0,694772000000.0,129799364000000.0,19517282000000.0,0.0,0.0,0.0,0.0,34233578000000.0,9856571000000.0,338000000.0,3403230000000.0,0.0,-70558000000.0,33670804000000.0,105163042000000.0,16867319000000.0,0.0,19015117000000.0,1054373000000.0,3073356000000.0,0.0
2022,11066956000000.0,10203357000000.0,6047853000000.0,16191223000000.0,-10143370000000.0,0.0,0.0,0.0,4155504000000.0,6779297000000.0,-2623793000000.0,0.0,0.0,0.0,3519441000000.0,0.0,3303160000000.0,234462000000.0,-18181000000.0,1808810868000000.0,1700494560000000.0,108316308000000.0,48057506000000.0,8974677000000.0,836032000000.0,0.0,0.0,120993000000.0,33513021000000.0,0.0,1808810868000000.0,29727110000000.0,242431953000000.0,1406183000000.0,1622967000000.0,-216784000000.0,3058727000000.0,1245430464000000.0,1274843694000000.0,-29413230000000.0,180312848000000.0,178685028000000.0,1696778000000.0,-68958000000.0,81653829000000.0,104779302000000.0,209429843000000.0,1249176034000000.0,0.0,2392201000000.0,91370419000000.0,43346761000000.0,57868215000000.0,0.0,0.0,16074632000000.0,78213178000000.0,7692271000000.0,1994153000000.0,1903759000000.0,256457826000000.0,0.0,0.0,73681359000000.0,53105344000000.0,739447000000.0,222454660000000.0,19977293000000.0,0.0,0.0,0.0,0.0,65993812000000.0,12399295000000.0,0.0,3322348000000.0,0.0,-61626000000.0,139932528000000.0,69497315000000.0,21587660000000.0,112000000.0,20720199000000.0,1038790000000.0,3303160000000.0,0.0
2023,9759580000000.0,10125534000000.0,6133262000000.0,16641464000000.0,-10508202000000.0,0.0,0.0,0.0,3992272000000.0,6804407000000.0,-2812135000000.0,0.0,0.0,0.0,3426483000000.0,0.0,3206452000000.0,234462000000.0,-14431000000.0,2032613606000000.0,1906741786000000.0,125871820000000.0,53699917000000.0,8974677000000.0,836032000000.0,0.0,0.0,86970000000.0,42369429000000.0,0.0,2032613606000000.0,40597059000000.0,279841639000000.0,2487905000000.0,2676130000000.0,-188225000000.0,0.0,1445571643000000.0,1473344564000000.0,-27772921000000.0,181210531000000.0,180595473000000.0,864999000000.0,-249941000000.0,59593232000000.0,21814105000000.0,304321721000000.0,1410899038000000.0,555946000000.0,2237779000000.0,115375727000000.0,51537470000000.0,63510626000000.0,0.0,0.0,19043575000000.0,102201746000000.0,8785288000000.0,1407060000000.0,1405874000000.0,723422889000000.0,0.0,0.0,55986789000000.0,68704794000000.0,861220000000.0,259230017000000.0,20611622000000.0,0.0,0.0,0.0,0.0,41454754000000.0,14761581000000.0,0.0,3483594000000.0,0.0,-106697000000.0,259892746000000.0,44428975000000.0,27999187000000.0,171000000.0,22136868000000.0,1401244000000.0,3206452000000.0,0.0
2024,11147549000000.0,10002157000000.0,6149216000000.0,17253570000000.0,-11104354000000.0,0.0,0.0,0.0,3852941000000.0,6927826000000.0,-3074885000000.0,0.0,0.0,0.0,3933844000000.0,0.0,3706673000000.0,234462000000.0,-7291000000.0,2385387732000000.0,2236883024000000.0,148504708000000.0,53699917000000.0,8974677000000.0,909405000000.0,0.0,0.0,243105000000.0,58390118000000.0,0.0,2385387732000000.0,34431657000000.0,378482885000000.0,2798875000000.0,2990692000000.0,-191817000000.0,0.0,1685290589000000.0,1721954714000000.0,-36664125000000.0,214607153000000.0,188557477000000.0,26635861000000.0,-586185000000.0,44693023000000.0,154284104000000.0,276141255000000.0,1606316685000000.0,390841000000.0,2179950000000.0,151678090000000.0,45892099000000.0,63583999000000.0,0.0,0.0,25316757000000.0,108170999000000.0,15390290000000.0,6892967000000.0,6892619000000.0,790444138000000.0,0.0,0.0,66691329000000.0,63111263000000.0,970729000000.0,370530038000000.0,7952847000000.0,0.0,0.0,0.0,0.0,27766899000000.0,13312631000000.0,4369000000.0,3715565000000.0,0.0,-106441000000.0,253519627000000.0,22621628000000.0,21026493000000.0,0.0,22102187000000.0,2763419000000.0,3706673000000.0,0.0
2025,12583484000000.0,10826743000000.0,6729017000000.0,18510909000000.0,-11781892000000.0,0.0,0.0,0.0,4097726000000.0,7363859000000.0,-3266133000000.0,0.0,0.0,0.0,4428296000000.0,0.0,4193834000000.0,234462000000.0,0.0,2767699300000000.0,2588044295000000.0,179655005000000.0,77669446000000.0,8974666000000.0,1574563000000.0,0.0,0.0,362748000000.0,58212794000000.0,0.0,2767699300000000.0,35225543000000.0,476487530000000.0,2942431000000.0,3044151000000.0,-101720000000.0,228448000000.0,1957462503000000.0,1992272868000000.0,-34810365000000.0,211880390000000.0,203605111000000.0,8806918000000.0,-531639000000.0,55633932000000.0,144592357000000.0,417724115000000.0,1793732057000000.0,0.0,2113898000000.0,174030352000000.0,55851516000000.0,88218675000000.0,0.0,0.0,31654355000000.0,147475860000000.0,28630320000000.0,5341651000000.0,5341779000000.0,849738846000000.0,0.0,0.0,91019626000000.0,83119399000000.0,1206433000000.0,463381166000000.0,13106364000000.0,0.0,0.0,0.0,0.0,33305817000000.0,17173963000000.0,434000000.0,5262441000000.0,0.0,-108723000000.0,399558557000000.0,18165558000000.0,26660549000000.0,0.0,26345997000000.0,2844970000000.0,4193834000000.0,0.0
