period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018,28732874000000.0,0.0,21468071000000.0,-902706000000.0,13415000000.0,0.0,56220000000.0,128194000000.0,-710038000000.0,0.0,-92612000000.0,-92612000000.0,100741678000000.0,0.0,121407099000000.0,-1743510000000.0,0.0,13485935000000.0,22027125000000.0,113948000000.0,-121853473000000.0,0.0,-19649357000000.0,-1001400000000.0,16813500000000.0,-12780711000000.0,140634484000000.0,0.0,573469000000.0,-43747068000000.0,0.0,-1880740000000.0,21468586000000.0,-515000000.0,0.0,-5161000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88053639000000.0,-51446906000000.0,3555102000000.0,0.0,1919031000000.0,-668809000000.0,-15414260000000.0,4478587000000.0,1919031000000.0
2019,34221345000000.0,0.0,33744863000000.0,-432570000000.0,5299000000.0,0.0,0.0,111061000000.0,-330433000000.0,20295103000000.0,-4844230000000.0,15450873000000.0,121407099000000.0,0.0,170272402000000.0,-1871349000000.0,0.0,9972481000000.0,-10064536000000.0,-12375000000.0,-128259205000000.0,0.0,-19686295000000.0,-711579000000.0,-14945095000000.0,-2514970000000.0,142899173000000.0,0.0,90225000000.0,22781001000000.0,0.0,-24928000000.0,33745242000000.0,-379000000.0,0.0,-12864000000.0,0.0,0.0,-1359000000.0,0.0,0.0,0.0,0.0,100233777000000.0,-60799870000000.0,4266331000000.0,0.0,2689112000000.0,-409071000000.0,-15665395000000.0,5777810000000.0,2689112000000.0
2020,28758261000000.0,0.0,-67912810000000.0,-1061633000000.0,8545000000.0,0.0,0.0,134987000000.0,-919255000000.0,0.0,-2669096000000.0,-2669096000000.0,170272402000000.0,0.0,98771241000000.0,-2109973000000.0,0.0,-14905662000000.0,13505590000000.0,-75803000000.0,-97297933000000.0,0.0,-25417774000000.0,2327530000000.0,-4130532000000.0,5577669000000.0,25104641000000.0,0.0,466850000000.0,464330000000.0,0.0,-2289779000000.0,-67912612000000.0,-198000000.0,0.0,-1154000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102790502000000.0,-67158420000000.0,5266381000000.0,0.0,4045385000000.0,-2050717000000.0,-19160792000000.0,7135895000000.0,4045385000000.0
2021,43592314000000.0,0.0,68890144000000.0,-1015514000000.0,8383000000.0,-53725000000.0,0.0,88441000000.0,-977359000000.0,0.0,-1353760000000.0,-1353760000000.0,98771241000000.0,0.0,165330266000000.0,-2614061000000.0,0.0,-3809544000000.0,-47840246000000.0,-24349000000.0,-140336727000000.0,0.0,-19838357000000.0,1151176000000.0,-2236588000000.0,15746544000000.0,164077666000000.0,0.0,1496726000000.0,60445065000000.0,0.0,-3532641000000.0,68891039000000.0,-895000000.0,0.0,-4944000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103175768000000.0,-55085600000000.0,6614281000000.0,0.0,2902314000000.0,-2058082000000.0,-17575802000000.0,8233496000000.0,2902314000000.0
2022,49466042000000.0,0.0,132517903000000.0,-1091733000000.0,9868000000.0,0.0,0.0,165567000000.0,-917883000000.0,1059025000000.0,-301930000000.0,757095000000.0,165330266000000.0,0.0,297687381000000.0,-2756764000000.0,0.0,3512237000000.0,-55646978000000.0,-845932000000.0,-167589073000000.0,0.0,-14823169000000.0,-15027057000000.0,-1599082000000.0,79213906000000.0,222212133000000.0,0.0,-1112370000000.0,33369844000000.0,0.0,1388383000000.0,132518884000000.0,-981000000.0,0.0,-1585000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120347258000000.0,-60516671000000.0,5648065000000.0,0.0,3479485000000.0,-1491709000000.0,-20937375000000.0,5693753000000.0,3479485000000.0
2023,50080394000000.0,0.0,-71014987000000.0,-2005077000000.0,11710000000.0,0.0,0.0,182104000000.0,-1813698000000.0,0.0,-119694000000.0,-119694000000.0,297687381000000.0,0.0,224739002000000.0,-4551443000000.0,0.0,-1064184000000.0,8284842000000.0,1038214000000.0,-255443174000000.0,0.0,-17924823000000.0,-4556063000000.0,-116856229000000.0,4609693000000.0,231092037000000.0,328154000000.0,-1029896000000.0,32435138000000.0,0.0,-2007926000000.0,-71013823000000.0,-1164000000.0,0.0,-2435000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149297819000000.0,-88243401000000.0,6569871000000.0,0.0,8389150000000.0,-3373336000000.0,-23440129000000.0,5431863000000.0,8389150000000.0
2024,39869606000000.0,0.0,98846772000000.0,-1244828000000.0,19896000000.0,-1028000000.0,14108000000.0,88105000000.0,-1128440000000.0,0.0,-94460000000.0,2267130000000.0,224739002000000.0,0.0,324724464000000.0,-6884931000000.0,0.0,-8638554000000.0,-66507396000000.0,-663256000000.0,-278417535000000.0,0.0,-23561854000000.0,-882116000000.0,132492470000000.0,51123077000000.0,248475301000000.0,-328155000000.0,-226262000000.0,7051839000000.0,0.0,-940393000000.0,98846772000000.0,0.0,0.0,-4693000000.0,0.0,0.0,0.0,19000000000000.0,-16638410000000.0,0.0,0.0,135683986000000.0,-86044709000000.0,7074445000000.0,0.0,10853510000000.0,-3117574000000.0,-25803145000000.0,8108024000000.0,10853510000000.0
2025,54114415000000.0,0.0,192940485000000.0,-1822980000000.0,11375000000.0,0.0,0.0,175906000000.0,-1638693000000.0,4753174000000.0,-3248220000000.0,14251434000000.0,324724464000000.0,0.0,530277690000000.0,-6769278000000.0,0.0,-5402196000000.0,-23883528000000.0,663256000000.0,-316872654000000.0,0.0,-26117579000000.0,-8362270000000.0,50436567000000.0,185011133000000.0,269826142000000.0,230559000000.0,61600000000.0,13761128000000.0,0.0,-526088000000.0,192940485000000.0,0.0,0.0,-2994000000.0,0.0,0.0,0.0,26043000000000.0,-13296520000000.0,0.0,0.0,149994755000000.0,-86565006000000.0,6924228000000.0,0.0,5612483000000.0,-1656758000000.0,-28199459000000.0,14773450000000.0,5612483000000.0
