period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018,10507558000000.0,10728979000000.0,6414518000000.0,12160408000000.0,-5745890000000.0,0.0,0.0,0.0,4314461000000.0,5671933000000.0,-1357472000000.0,0.0,0.0,0.0,2612189000000.0,0.0,2522835000000.0,213320000000.0,-123966000000.0,1312866249000000.0,1258376593000000.0,54489656000000.0,34187153000000.0,30306000000.0,179146000000.0,0.0,0.0,156581000000.0,12270771000000.0,0.0,1312866249000000.0,50185159000000.0,104113340000000.0,673639000000.0,790210000000.0,-116571000000.0,79755000000.0,976334471000000.0,988738780000000.0,-12404309000000.0,133188297000000.0,111419195000000.0,29847625000000.0,-8078523000000.0,24442862000000.0,105297399000000.0,79198149000000.0,989671155000000.0,0.0,12296196000000.0,39991361000000.0,31922333000000.0,34396605000000.0,0.0,0.0,4617990000000.0,145891703000000.0,4712259000000.0,2628996000000.0,3371261000000.0,0.0,0.0,0.0,61876656000000.0,7935991000000.0,3047709000000.0,81792629000000.0,22430353000000.0,-109642000000.0,0.0,0.0,0.0,8853740000000.0,11673017000000.0,34472000000.0,4533448000000.0,0.0,-651815000000.0,22064492000000.0,57133657000000.0,20726439000000.0,90753000000.0,11105141000000.0,0.0,1938687000000.0,584148000000.0
2019,14116720000000.0,10604686000000.0,6294519000000.0,12784828000000.0,-6490309000000.0,0.0,0.0,0.0,4310167000000.0,5866116000000.0,-1555949000000.0,0.0,0.0,0.0,2737661000000.0,0.0,2625776000000.0,214679000000.0,-102794000000.0,1489957293000000.0,1412304312000000.0,77652981000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,129783000000.0,13856938000000.0,0.0,1489957293000000.0,135255429000000.0,54290180000000.0,6346190000000.0,6380379000000.0,-34189000000.0,92130000000.0,1102365849000000.0,1116997985000000.0,-14632136000000.0,138284421000000.0,121819089000000.0,23262431000000.0,-6797099000000.0,25864027000000.0,108760008000000.0,76683179000000.0,1114162624000000.0,0.0,12386421000000.0,62772362000000.0,37539718000000.0,54780413000000.0,0.0,0.0,5755410000000.0,145684887000000.0,5353955000000.0,1647813000000.0,1626833000000.0,0.0,0.0,0.0,68683562000000.0,8771607000000.0,3130437000000.0,43718603000000.0,10717769000000.0,-146192000000.0,0.0,0.0,0.0,9159704000000.0,12846132000000.0,38579000000.0,4460435000000.0,0.0,-640823000000.0,28904853000000.0,47778326000000.0,24695986000000.0,111935000000.0,12731797000000.0,0.0,2020226000000.0,605550000000.0
2020,12294193000000.0,10422121000000.0,6162330000000.0,13353310000000.0,-7190980000000.0,0.0,0.0,0.0,4259791000000.0,6007344000000.0,-1747553000000.0,0.0,0.0,0.0,2760622000000.0,0.0,2643474000000.0,215470000000.0,-98322000000.0,1516685712000000.0,1437039100000000.0,79646612000000.0,40220180000000.0,14292382000000.0,267851000000.0,0.0,0.0,49915000000.0,13517408000000.0,0.0,1516685712000000.0,49432144000000.0,85347858000000.0,10169711000000.0,10184436000000.0,-14725000000.0,167933000000.0,1195239968000000.0,1214295916000000.0,-19055948000000.0,125114962000000.0,112192338000000.0,13501317000000.0,-578693000000.0,25736200000000.0,17222797000000.0,82260848000000.0,1226673942000000.0,0.0,12853270000000.0,63236692000000.0,34791551000000.0,54780413000000.0,0.0,0.0,8064281000000.0,155955887000000.0,4085698000000.0,1581271000000.0,1142528000000.0,0.0,0.0,0.0,79827911000000.0,12696460000000.0,3234595000000.0,62191227000000.0,23295457000000.0,-138826000000.0,0.0,0.0,0.0,9784393000000.0,12821354000000.0,37087000000.0,3707796000000.0,0.0,-614430000000.0,40828386000000.0,41432462000000.0,22428269000000.0,113813000000.0,12249469000000.0,0.0,2039869000000.0,603605000000.0
2021,12660583000000.0,10741232000000.0,6338050000000.0,14264308000000.0,-7926258000000.0,0.0,0.0,0.0,4403182000000.0,6407788000000.0,-2004606000000.0,0.0,0.0,0.0,2847647000000.0,0.0,2729682000000.0,215617000000.0,-97652000000.0,1761695792000000.0,1675366766000000.0,86329026000000.0,50585239000000.0,14292382000000.0,267851000000.0,0.0,0.0,-367882000000.0,8672557000000.0,0.0,1761695792000000.0,68851444000000.0,135940229000000.0,6068913000000.0,6083165000000.0,-14252000000.0,192282000000.0,1325528925000000.0,1354632643000000.0,-29103718000000.0,177088795000000.0,111675314000000.0,65711393000000.0,-297912000000.0,21775742000000.0,25340018000000.0,98007392000000.0,1380397799000000.0,0.0,14349996000000.0,123681757000000.0,33589804000000.0,65145472000000.0,0.0,0.0,9684951000000.0,167338469000000.0,8458181000000.0,2816946000000.0,1155699000000.0,0.0,0.0,0.0,121248044000000.0,8355060000000.0,3193928000000.0,112042988000000.0,24026575000000.0,-129334000000.0,0.0,0.0,0.0,7838680000000.0,10901959000000.0,36588000000.0,3567089000000.0,0.0,-568574000000.0,58953639000000.0,39053753000000.0,21527269000000.0,114444000000.0,11948091000000.0,0.0,2134086000000.0,595596000000.0
2022,13745228000000.0,10539477000000.0,6103314000000.0,14599661000000.0,-8496347000000.0,0.0,0.0,0.0,4436163000000.0,6639598000000.0,-2203435000000.0,0.0,0.0,0.0,2968160000000.0,0.0,2871541000000.0,215076000000.0,-118457000000.0,2120676711000000.0,2016558206000000.0,104118505000000.0,50585239000000.0,15351407000000.0,267851000000.0,0.0,0.0,-760404000000.0,21503511000000.0,0.0,2120676711000000.0,111418448000000.0,221177798000000.0,1701464000000.0,1748521000000.0,-47057000000.0,1038214000000.0,1484168975000000.0,1522221714000000.0,-38052739000000.0,235636449000000.0,162283083000000.0,73734542000000.0,-381176000000.0,38282498000000.0,152752718000000.0,177221298000000.0,1473598150000000.0,0.0,13237626000000.0,157051601000000.0,42696813000000.0,66204497000000.0,0.0,0.0,12447663000000.0,181439918000000.0,7110244000000.0,769295000000.0,593226000000.0,0.0,0.0,0.0,110060722000000.0,10319504000000.0,4723238000000.0,203466918000000.0,17795874000000.0,-84994000000.0,0.0,0.0,0.0,22734826000000.0,12906178000000.0,35542000000.0,3214895000000.0,0.0,-608943000000.0,137045455000000.0,40175843000000.0,26051633000000.0,97371000000.0,16547809000000.0,0.0,2243217000000.0,628324000000.0
2023,11029204000000.0,11096141000000.0,6401362000000.0,15608346000000.0,-9206984000000.0,0.0,0.0,0.0,4694779000000.0,7153285000000.0,-2458506000000.0,0.0,0.0,0.0,3113075000000.0,0.0,3012284000000.0,214888000000.0,-114097000000.0,2300868728000000.0,2178001839000000.0,122866889000000.0,57004359000000.0,15361020000000.0,345918000000.0,0.0,0.0,-803547000000.0,30330738000000.0,0.0,2300868728000000.0,51615657000000.0,211812201000000.0,6972474000000.0,7003656000000.0,-31182000000.0,0.0,1737195822000000.0,1777664882000000.0,-40469060000000.0,222393123000000.0,127572432000000.0,95722385000000.0,-901694000000.0,45641031000000.0,35896488000000.0,181830990000000.0,1704690185000000.0,328155000000.0,12207729000000.0,189486736000000.0,53561556000000.0,72711297000000.0,0.0,0.0,15662247000000.0,199816234000000.0,6753573000000.0,846669000000.0,587201000000.0,0.0,0.0,0.0,83174919000000.0,24005803000000.0,4966154000000.0,197333127000000.0,14564284000000.0,-85210000000.0,0.0,0.0,0.0,25922204000000.0,15552516000000.0,36982000000.0,4451584000000.0,0.0,-322255000000.0,143569390000000.0,38261600000000.0,34433979000000.0,94150000000.0,19033427000000.0,0.0,2314557000000.0,697727000000.0
2024,10772890000000.0,12164849000000.0,6844237000000.0,16745119000000.0,-9900882000000.0,0.0,0.0,0.0,5320612000000.0,8103328000000.0,-2782716000000.0,0.0,0.0,0.0,3423594000000.0,0.0,3348512000000.0,182914000000.0,-107832000000.0,2760906964000000.0,2615922770000000.0,144984194000000.0,68975153000000.0,15361020000000.0,452623000000.0,0.0,0.0,-701036000000.0,36264506000000.0,0.0,2760906964000000.0,92341029000000.0,279971515000000.0,12734060000000.0,12773340000000.0,-39280000000.0,663256000000.0,2018111939000000.0,2056082420000000.0,-37970481000000.0,277838108000000.0,157918828000000.0,121120044000000.0,-1200764000000.0,52885724000000.0,168388958000000.0,232954067000000.0,1953165486000000.0,0.0,11981467000000.0,198900165000000.0,50532627000000.0,84788796000000.0,0.0,0.0,19396820000000.0,199424464000000.0,7003205000000.0,2333456000000.0,2666274000000.0,128387557000000.0,0.0,0.0,62266136000000.0,14564280000000.0,5235108000000.0,268366137000000.0,11686232000000.0,-80854000000.0,0.0,0.0,0.0,25773422000000.0,23146980000000.0,27056000000.0,4242266000000.0,0.0,-304000000000.0,205610785000000.0,27343282000000.0,28670105000000.0,79819000000.0,21782703000000.0,0.0,2608671000000.0,739841000000.0
2025,13075066000000.0,13123069000000.0,7540809000000.0,17858282000000.0,-10317473000000.0,0.0,0.0,0.0,5582260000000.0,8684772000000.0,-3102512000000.0,0.0,0.0,0.0,4373644000000.0,0.0,4294797000000.0,183050000000.0,-104203000000.0,3330825720000000.0,3157272818000000.0,173552902000000.0,70213619000000.0,18875728000000.0,1000084000000.0,0.0,0.0,-597397000000.0,44786285000000.0,0.0,3330825720000000.0,123629833000000.0,457353489000000.0,30152464000000.0,30183811000000.0,-31347000000.0,0.0,2338009521000000.0,2372955074000000.0,-34945553000000.0,285463101000000.0,171882436000000.0,113629492000000.0,-48827000000.0,65645533000000.0,218825525000000.0,417965201000000.0,2222991628000000.0,230557000000.0,12043069000000.0,225407774000000.0,59809064000000.0,90089431000000.0,0.0,0.0,33710640000000.0,246978045000000.0,5051135000000.0,693500000000.0,3197813000000.0,232172631000000.0,0.0,0.0,67407887000000.0,13209581000000.0,5563943000000.0,443325963000000.0,14090848000000.0,-63322000000.0,0.0,0.0,0.0,32944317000000.0,28145159000000.0,27682000000.0,4736845000000.0,0.0,-208470000000.0,392473437000000.0,25491764000000.0,33802929000000.0,65589000000.0,25940546000000.0,0.0,3083714000000.0,1211083000000.0
