feature,importance
llp_ratio,0.2101524994170481
roe,0.11499144112892638
cir,0.11071235874213746
roa,0.0981722895403115
lta,0.049264006165746436
etd,0.04856853368926007
total_loans,0.048278219063827656
gta,0.04779114204127409
total_assets,0.04734172015808406
ltd,0.04613180747381376
total_deposits,0.045876925898575
total_equity,0.04502140601514034
nim,0.044544637752173905
eta,0.04315301291368118
