period,Tổng lợi nhuận/lỗ trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu (VND),Lãi trên cổ phiếu pha loãng (VND),Thu nhập lãi và các khoản thu nhập tương tự,Chi phí lãi và các chi phí tương tự,Thu nhập lãi thuần,Thu nhập từ dịch vụ,Chi phí dịch vụ,Lãi/Lỗ thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Thu nhập khác,Chi phí khác,Lãi/(lỗ) thuần từ hoạt động khác,Thu nhập từ cổ tức,Tổng thu nhập hoạt động,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Trích lập dự phòng tổn thất tín dụng
2018,18269226000000.0,-3648356000000.0,1192000000.0,-3647164000000.0,14622062000000.0,-16484000000.0,14605578000000.0,3323.0,0.0,55863951000000.0,-27455435000000.0,28408516000000.0,7022155000000.0,-3619663000000.0,3402492000000.0,2266429000000.0,250462000000.0,0.0,3515904000000.0,-281539000000.0,3234365000000.0,1716169000000.0,39278433000000.0,-13611094000000.0,25667339000000.0,-7398113000000.0
2019,23211571000000.0,-5010302000000.0,396075000000.0,-4614227000000.0,18597344000000.0,-15090000000.0,18582254000000.0,4406.0,0.0,67665496000000.0,-33127768000000.0,34537728000000.0,9005109000000.0,-4695663000000.0,4309446000000.0,3378274000000.0,145982000000.0,7040000000.0,3427795000000.0,-357970000000.0,3069825000000.0,245096000000.0,45693391000000.0,-15874542000000.0,29818849000000.0,-6607278000000.0
2020,23049561000000.0,-5081068000000.0,504025000000.0,-4577043000000.0,18472518000000.0,-21207000000.0,18451311000000.0,4470.0,0.0,69205134000000.0,-32919659000000.0,36285475000000.0,10588163000000.0,-3980846000000.0,6607317000000.0,3906399000000.0,1810000000.0,-98000000.0,2544714000000.0,-744461000000.0,1800253000000.0,461385000000.0,49062541000000.0,-16038250000000.0,33024291000000.0,-9974730000000.0
2021,27485843000000.0,-4560128000000.0,-908882000000.0,-5469010000000.0,22016833000000.0,-20232000000.0,21996601000000.0,4162.0,0.0,70621957000000.0,-28349385000000.0,42272572000000.0,11286516000000.0,-3879443000000.0,7407073000000.0,4374820000000.0,137665000000.0,-85235000000.0,3100370000000.0,-707109000000.0,2393261000000.0,129810000000.0,56629966000000.0,-17665925000000.0,38964041000000.0,-11478198000000.0
2022,37368091000000.0,-8406860000000.0,957823000000.0,-7449037000000.0,29919054000000.0,-20040000000.0,29899014000000.0,5821.0,0.0,88112700000000.0,-34866222000000.0,53246478000000.0,12425007000000.0,-5585907000000.0,6839100000000.0,5768445000000.0,-115194000000.0,81595000000.0,2928339000000.0,-874378000000.0,2053961000000.0,208436000000.0,68082821000000.0,-21250512000000.0,46832309000000.0,-9464218000000.0
2023,41328467000000.0,-8096357000000.0,-109838000000.0,-8206195000000.0,33122272000000.0,-21245000000.0,33101027000000.0,5462.0,0.0,108115840000000.0,-54501409000000.0,53614431000000.0,12698083000000.0,-6872673000000.0,5825410000000.0,5660028000000.0,124539000000.0,0.0,4051437000000.0,-1777975000000.0,2273462000000.0,266456000000.0,67764326000000.0,-21905912000000.0,45858414000000.0,-4529947000000.0
2024,42236135000000.0,-8526496000000.0,143478000000.0,-8383018000000.0,33853117000000.0,-21731000000.0,33831386000000.0,5571.0,0.0,93654841000000.0,-38249106000000.0,55405735000000.0,13143005000000.0,-8006444000000.0,5136561000000.0,5291751000000.0,62123000000.0,3444000000.0,4468806000000.0,-2097103000000.0,2371703000000.0,307179000000.0,68578496000000.0,-23027363000000.0,45551133000000.0,-3314998000000.0
2025,44019637000000.0,-7842997000000.0,-978700000000.0,-8821697000000.0,35197940000000.0,-20277000000.0,35177663000000.0,3854.0,0.0,105216484000000.0,-46445074000000.0,58771410000000.0,11854532000000.0,-8384665000000.0,3469867000000.0,6165112000000.0,171160000000.0,3616000000.0,5269108000000.0,-1677513000000.0,3591595000000.0,281862000000.0,72454622000000.0,-25242799000000.0,47211823000000.0,-3192186000000.0
