period,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113
2018,3708877448,252203666464000.0,0.0081218274,29.5428683626,5.7056509724,9.0222592918,-5.8833586414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548788782,0.0138642435,0.0,0.0,0.0,0.6534715629,0.0,0.46512105,0.3722669384,0.0,0.02782131,0.0547092392,-0.0280779063,0.3222184503,-0.3465284371,0.1627285432,0.1318374009,0.0614513537,0.0984058399,0.057893707,0.7879334298,0.0098485842,-1.6541090437,0.0162906323,-0.0125893054,0.0,0.0,0.0,0.0,0.0,0.0,-0.3465284371,0.1214,,0.3031972944,226842211000000.0,1351961000000.0,14948566000000.0,801929115000000.0
2019,3708877448,266668288511200.0,0.0081218274,22.7700180546,4.5213685717,7.9886590908,14.5687857496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2589917833,0.0161323827,0.0,0.0,0.0,0.6541123285,0.0,0.5056239746,0.4051133534,0.0,0.0310301679,0.0607765773,-0.0314722439,0.3154647479,-0.3458876715,0.1627560426,0.1577717427,0.0708359088,0.1100887755,0.0661501059,0.7913255462,0.0078996578,-1.7947810562,0.0141781561,-0.0099378896,0.0,0.0,0.0,0.0,0.0,0.0,-0.3458876715,0.0934,,0.30776016,262977124000000.0,1743958000000.0,21019106000000.0,928450869000000.0
2020,3708877448,370887744800000.0,0.0152284264,18.187341558,3.1088147965,5.956877348,11.414856605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111410819,0.0144942236,0.0,0.0,0.0,0.6731060057,0.0,0.4697995768,0.3765096064,0.0,0.0292127778,0.0557157983,-0.0284534333,0.3394107697,-0.3268939943,0.1430248869,0.1116512478,0.0763674195,0.1120460756,0.0709492113,0.8136587754,0.0062272471,-3.6796137502,0.022913864,-0.0126703852,0.0,0.0,0.0,0.0,0.0,0.0,-0.3268939943,0.0956,,0.3279764299,307026182000000.0,4156820000000.0,27325921000000.0,1032113567000000.0
2021,4732516571,382860590593900.0,0.0,15.0778008124,2.7213558655,5.2308096481,-5.2466351383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159223357,0.0160086275,0.0,0.0,0.0,0.6901783807,0.0,0.4828430313,0.3867712379,0.0,0.0316715898,0.0528479626,-0.022954483,0.334770524,-0.3098216193,0.1440383244,0.0999990207,0.0835793029,0.1135752257,0.0771326129,0.846234228,0.0063711978,-4.2436080409,0.0270368662,-0.0130636505,0.0,0.0,0.0,0.0,0.0,0.0,-0.3098216193,0.0931,,0.3568148599,367149083000000.0,6309346000000.0,31642014000000.0,1135323913000000.0
2022,4732516571,418354464876400.0,0.0,14.2824498041,2.8033898286,5.5817470163,2.0718460255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2444042542,0.018532607,0.0,0.0,0.0,0.687872628,0.0,0.54886226,0.4394508565,0.0,0.0340548824,0.0563542932,-0.024548754,0.2747206491,-0.312127372,0.1918462697,0.0952543646,0.080829808,0.1184613423,0.0747849545,0.9208647237,0.0068296668,-3.1685529462,0.021640161,-0.0089886458,0.0,0.0,0.0,0.0,0.0,0.0,-0.312127372,0.0995,,0.3392061921,402103803000000.0,9848420000000.0,9839982000000.0,1243468471000000.0
2023,5589091262,528728033385200.0,0.0,16.7480098322,3.0907665458,7.5265662963,-13.2253474774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2198801657,0.01809503,0.0,0.0,0.0,0.6764061028,0.0,0.6090014565,0.4880797145,0.0,0.0301397893,0.060774522,-0.0340660199,0.2580364186,-0.3235938972,0.1094196672,0.1224229995,0.0985385248,0.129894513,0.0896996533,0.9101964552,0.009804289,-2.3029916498,0.0225791958,-0.00377977,0.0,0.0,0.0,0.0,0.0,0.0,-0.3235938972,0.1139,,0.3517477784,461311977000000.0,11820124000000.0,17801433000000.0,1395697611000000.0
2024,8355675094,501340505640000.0,0.007826087,10.3303411404,1.6387128959,4.6862029425,5.435679319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1874015281,0.0172473678,0.0,0.0,0.0,0.6642188974,0.0,0.6158801587,0.4936404117,0.0,0.0286584855,0.0484427452,-0.0219653211,0.232206684,-0.3357811026,0.1407790069,0.0852385489,0.1038328143,0.1353914691,0.0940657072,0.9567785897,0.009635678,-2.2331096918,0.021517526,-0.0024378948,0.0,0.0,0.0,0.0,0.0,0.0,-0.3357811026,0.1216,,0.3672326931,529738285000000.0,13185995000000.0,13310172000000.0,1514664850000000.0
2025,8355675094,500504938130600.0,0.0,14.4416940398,2.2630467785,7.0116306187,4.3708391788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1673033542,0.0155462691,0.0,0.0,0.0,0.6516054007,0.0,0.6075476731,0.485792887,0.0,0.026405665,0.0472731763,-0.0230354677,0.228024987,-0.3483945993,0.1547936423,0.1042276752,0.1012565524,0.1341830181,0.0919463791,1.0005924116,0.0057779544,-2.5829191726,0.0149239891,-0.0020444877,0.0,0.0,0.0,0.0,0.0,0.0,-0.3483945993,0.1156,,0.3542038508,563957715000000.0,8366701000000.0,20093867000000.0,1672534846000000.0
