period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018,21540011000000.0,0.0,-60234337000000.0,-1133639000000.0,6767000000.0,0.0,2628038000000.0,129753000000.0,1629227000000.0,0.0,-2914981000000.0,-2914981000000.0,305534247000000.0,0.0,244014156000000.0,-2585774000000.0,0.0,2306008000000.0,-14454777000000.0,556371000000.0,-88432298000000.0,0.0,-4083722000000.0,-2666699000000.0,-80699753000000.0,9581876000000.0,93409398000000.0,0.0,2650000000.0,3246793000000.0,0.0,824980000000.0,-58869162000000.0,-1365175000000.0,0.0,-1692000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54473260000000.0,-27395363000000.0,3402492000000.0,3203390000000.0,0.0,-42957000000.0,-12787284000000.0,3272247000000.0,3203390000000.0
2019,26469418000000.0,0.0,25075832000000.0,-1005065000000.0,11589000000.0,0.0,95773000000.0,197571000000.0,-706447000000.0,6106477000000.0,-2219483000000.0,3886994000000.0,244014156000000.0,0.0,272270535000000.0,-4827328000000.0,0.0,2189341000000.0,-17562680000000.0,177671000000.0,-102840133000000.0,0.0,-4502397000000.0,-3354149000000.0,1680491000000.0,-2906994000000.0,126521754000000.0,0.0,-5372000000.0,-77572000000.0,0.0,720675000000.0,26510053000000.0,-1434221000000.0,0.0,-6315000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66956606000000.0,-31567168000000.0,4306844000000.0,0.0,3068655000000.0,-115005000000.0,-14532712000000.0,3179526000000.0,3068655000000.0
2020,29528536000000.0,0.0,25603435000000.0,-3001902000000.0,10569000000.0,0.0,605274000000.0,83959000000.0,-2305153000000.0,0.0,-2986115000000.0,-2986115000000.0,272270535000000.0,0.0,292582702000000.0,-4680317000000.0,0.0,4040576000000.0,10336784000000.0,98312000000.0,-105081370000000.0,0.0,-2805965000000.0,1613500000000.0,-51188811000000.0,29966748000000.0,103662698000000.0,52031000000.0,-5752000000.0,-144015000000.0,0.0,7396305000000.0,27469577000000.0,-1866142000000.0,0.0,-3053000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70063617000000.0,-33194191000000.0,6607317000000.0,0.0,3464399000000.0,-628988000000.0,-14525026000000.0,2421725000000.0,3464399000000.0
2021,32489056000000.0,0.0,-56552473000000.0,-1621433000000.0,8456000000.0,-83502000000.0,13791000000.0,93953000000.0,-1589936000000.0,0.0,-1886298000000.0,-1886298000000.0,292582702000000.0,0.0,232553995000000.0,-5877802000000.0,0.0,-13107318000000.0,-14079392000000.0,-303202000000.0,-120961694000000.0,0.0,-2538370000000.0,-9978820000000.0,-31708879000000.0,6173944000000.0,103210346000000.0,-52031000000.0,-6972000000.0,-3853426000000.0,0.0,950748000000.0,-53766010000000.0,-2786463000000.0,0.0,-1201000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70805813000000.0,-28835100000000.0,5727973000000.0,0.0,4666765000000.0,-526224000000.0,-16384599000000.0,2912230000000.0,4666765000000.0
2022,43769595000000.0,0.0,183421489000000.0,-711567000000.0,15753000000.0,0.0,201899000000.0,106555000000.0,-392168000000.0,0.0,-3348022000000.0,-3348022000000.0,232553995000000.0,0.0,412235294000000.0,-3976351000000.0,0.0,-15019465000000.0,5431755000000.0,146687000000.0,-184316295000000.0,0.0,-3530346000000.0,-28925742000000.0,57846700000000.0,122753073000000.0,108144558000000.0,0.0,-4409000000.0,7950797000000.0,0.0,71713235000000.0,185960143000000.0,-2538654000000.0,0.0,-4808000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86084771000000.0,-31709129000000.0,5160000000000.0,0.0,6001404000000.0,-351728000000.0,-19834116000000.0,2394744000000.0,6001404000000.0
2023,43370999000000.0,0.0,-38541530000000.0,-1008160000000.0,9435000000.0,0.0,0.0,146088000000.0,-859407000000.0,0.0,-15627000000.0,-15627000000.0,412235294000000.0,0.0,372818730000000.0,-8969967000000.0,0.0,10780289000000.0,19792999000000.0,156515000000.0,-125292768000000.0,0.0,-5758202000000.0,30781829000000.0,-65643979000000.0,-18671870000000.0,152229140000000.0,117752000000.0,-2933000000.0,-5425274000000.0,0.0,-72173193000000.0,-35738696000000.0,-2802834000000.0,0.0,-6770000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108115649000000.0,-47454819000000.0,4100623000000.0,0.0,5242957000000.0,179388000000.0,-19932948000000.0,2090116000000.0,5242957000000.0
2024,30183878000000.0,0.0,59122831000000.0,-1480121000000.0,12504000000.0,0.0,747000000.0,160709000000.0,-1307413000000.0,0.0,-19963000000.0,-19963000000.0,372818730000000.0,0.0,430614185000000.0,-8854401000000.0,0.0,18021934000000.0,-24134346000000.0,-1314434000000.0,-178839881000000.0,0.0,-5358023000000.0,496225000000.0,76566500000000.0,20694977000000.0,118967239000000.0,-117752000000.0,164000000.0,4212146000000.0,0.0,2620930000000.0,61999557000000.0,-2876726000000.0,0.0,-1252000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93772270000000.0,-43790244000000.0,3523997000000.0,0.0,4094518000000.0,-1390558000000.0,-20922713000000.0,3751009000000.0,4094518000000.0
2025,38419635000000.0,0.0,116230551000000.0,-1453488000000.0,17231000000.0,-60167000000.0,0.0,118576000000.0,-1379136000000.0,0.0,-3776798000000.0,-3776798000000.0,430614185000000.0,0.0,541688802000000.0,-9241965000000.0,0.0,-9827563000000.0,-4827811000000.0,939516000000.0,-224326776000000.0,0.0,-7287783000000.0,-2952444000000.0,81890988000000.0,86624144000000.0,157869996000000.0,0.0,-529000000.0,2976037000000.0,0.0,-641807000000.0,118855603000000.0,-2625052000000.0,0.0,-1288000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104376654000000.0,-44982264000000.0,3413845000000.0,0.0,5074170000000.0,-340404000000.0,-23796457000000.0,3916056000000.0,5074170000000.0
