period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018,12792045000000.0,6527466000000.0,4459292000000.0,10534068000000.0,-6074776000000.0,0.0,0.0,0.0,2068174000000.0,2772517000000.0,-704343000000.0,0.0,0.0,0.0,2476067000000.0,0.0,907647000000.0,1635418000000.0,-66998000000.0,1074026560000000.0,1011847181000000.0,62179379000000.0,35977686000000.0,0.0,344657000000.0,0.0,119178000000.0,84450000000.0,16138687000000.0,0.0,1074026560000000.0,10845701000000.0,250228037000000.0,2654806000000.0,2725051000000.0,-70245000000.0,275983000000.0,621573249000000.0,631866758000000.0,-10293509000000.0,149296430000000.0,35321259000000.0,114251030000000.0,-275859000000.0,17356776000000.0,90685315000000.0,76524079000000.0,801929115000000.0,0.0,25803000000.0,21461132000000.0,21221737000000.0,36322343000000.0,0.0,0.0,9445732000000.0,54250031000000.0,276512000000.0,12471111000000.0,49360171000000.0,0.0,0.0,0.0,57703713000000.0,295856000000.0,68989000000.0,187352500000000.0,63875537000000.0,-1000000000000.0,0.0,0.0,0.0,4065268000000.0,7409149000000.0,6740000000.0,5879141000000.0,0.0,-3522000000.0,75245679000000.0,1278400000000.0,8717540000000.0,19295000000.0,12484902000000.0,0.0,897308000000.0,10339000000.0
2019,13778358000000.0,6706503000000.0,4445709000000.0,11162170000000.0,-6716461000000.0,0.0,0.0,0.0,2260794000000.0,3050669000000.0,-789875000000.0,0.0,0.0,0.0,2464493000000.0,0.0,951670000000.0,1587823000000.0,-75000000000.0,1222813692000000.0,1141859355000000.0,80954337000000.0,37088774000000.0,4995389000000.0,344658000000.0,0.0,113011000000.0,16361000000.0,26126544000000.0,0.0,1222813692000000.0,34684091000000.0,249470372000000.0,1801126000000.0,1889628000000.0,-88502000000.0,98312000000.0,724473254000000.0,734706891000000.0,-10233637000000.0,167529689000000.0,35699090000000.0,132271302000000.0,-440703000000.0,21807494000000.0,92365806000000.0,73617085000000.0,928450869000000.0,0.0,20431000000.0,21383932000000.0,26021232000000.0,42428821000000.0,0.0,0.0,12186141000000.0,53115849000000.0,292563000000.0,25775812000000.0,65818817000000.0,0.0,0.0,0.0,57345298000000.0,349311000000.0,83459000000.0,190100329000000.0,62370043000000.0,-3000000000000.0,0.0,0.0,0.0,8830390000000.0,8064808000000.0,405543000000.0,4510592000000.0,0.0,-3839000000.0,71046512000000.0,2570573000000.0,10363285000000.0,22023000000.0,15635924000000.0,0.0,940807000000.0,10863000000.0
2020,15095394000000.0,8539362000000.0,5411139000000.0,12866189000000.0,-7455050000000.0,0.0,0.0,0.0,3128223000000.0,4211880000000.0,-1083657000000.0,0.0,0.0,0.0,2239006000000.0,0.0,726183000000.0,1587823000000.0,-75000000000.0,1326230092000000.0,1232135113000000.0,94094979000000.0,37088774000000.0,4995389000000.0,344658000000.0,0.0,0.0,5103000000.0,36650228000000.0,0.0,1326230092000000.0,33139373000000.0,267969645000000.0,1954061000000.0,1991861000000.0,-37800000000.0,0.0,820545467000000.0,839788261000000.0,-19242794000000.0,156931097000000.0,42148831000000.0,115382544000000.0,-600278000000.0,19816687000000.0,41176995000000.0,103583833000000.0,1032113567000000.0,52031000000.0,14679000000.0,21240197000000.0,33953811000000.0,42428821000000.0,0.0,0.0,14925803000000.0,50892327000000.0,654296000000.0,53984032000000.0,62672880000000.0,0.0,0.0,0.0,45980494000000.0,680372000000.0,85024000000.0,204713783000000.0,64255862000000.0,-1000000000000.0,0.0,0.0,0.0,6668595000000.0,7206125000000.0,909263000000.0,5036638000000.0,0.0,-3934000000.0,100916433000000.0,2667400000000.0,9797834000000.0,0.0,24155977000000.0,0.0,714935000000.0,11248000000.0
2021,18011766000000.0,8636306000000.0,5562887000000.0,13736855000000.0,-8173968000000.0,0.0,0.0,0.0,3073419000000.0,4622229000000.0,-1548810000000.0,0.0,0.0,0.0,2346176000000.0,0.0,759715000000.0,1661461000000.0,-75000000000.0,1414986259000000.0,1305799830000000.0,109186429000000.0,37088774000000.0,4995389000000.0,344658000000.0,0.0,0.0,-5109000000.0,48502536000000.0,0.0,1414986259000000.0,22506711000000.0,225811765000000.0,2799649000000.0,2856082000000.0,-56433000000.0,303202000000.0,935009671000000.0,960749955000000.0,-25740284000000.0,170596896000000.0,71114698000000.0,99657595000000.0,-175397000000.0,28964117000000.0,9468116000000.0,109757777000000.0,1135323913000000.0,0.0,7707000000.0,17387747000000.0,33854570000000.0,42428821000000.0,0.0,0.0,18173068000000.0,51543638000000.0,2447477000000.0,3470214000000.0,3466305000000.0,74107503000000.0,0.0,0.0,65378199000000.0,11586990000000.0,87113000000.0,181036981000000.0,48727565000000.0,-3952781000000.0,0.0,0.0,0.0,15803945000000.0,7147524000000.0,349000000.0,6016319000000.0,0.0,-4020000000.0,104043817000000.0,5713960000000.0,9326371000000.0,0.0,24528199000000.0,0.0,748895000000.0,10820000000.0
2022,18348534000000.0,7985400000000.0,5170083000000.0,13950174000000.0,-8780091000000.0,0.0,0.0,0.0,2815317000000.0,4789089000000.0,-1973772000000.0,0.0,0.0,0.0,2193535000000.0,0.0,782389000000.0,1529145000000.0,-117999000000.0,1813815170000000.0,1678169085000000.0,135646085000000.0,47325166000000.0,4995389000000.0,809837000000.0,0.0,0.0,-863071000000.0,60733423000000.0,0.0,1813815170000000.0,92557809000000.0,313637444000000.0,1499687000000.0,1543575000000.0,-43888000000.0,156515000000.0,1120286832000000.0,1145066250000000.0,-24779418000000.0,196171213000000.0,100739670000000.0,95513376000000.0,-81833000000.0,60978201000000.0,67314816000000.0,232510850000000.0,1243468471000000.0,0.0,3298000000.0,25337894000000.0,109533756000000.0,53130392000000.0,0.0,0.0,22556958000000.0,48477552000000.0,2151637000000.0,1027038000000.0,1028925000000.0,81264769000000.0,0.0,0.0,84748838000000.0,35760608000000.0,88383000000.0,283727719000000.0,40749725000000.0,-10840000000000.0,0.0,0.0,0.0,24483406000000.0,9209121000000.0,958065000000.0,26339829000000.0,0.0,-12220000000.0,222040585000000.0,10470265000000.0,12485332000000.0,0.0,97048424000000.0,0.0,771075000000.0,11314000000.0
2023,14504849000000.0,7805080000000.0,5212804000000.0,14812856000000.0,-9600052000000.0,0.0,0.0,0.0,2592276000000.0,4906881000000.0,-2314605000000.0,0.0,0.0,0.0,2224945000000.0,0.0,838225000000.0,1529145000000.0,-142425000000.0,1839724560000000.0,1674644070000000.0,165080490000000.0,55890913000000.0,4995389000000.0,809837000000.0,0.0,0.0,-983237000000.0,76826482000000.0,0.0,1839724560000000.0,58104503000000.0,336501657000000.0,2495408000000.0,2511395000000.0,-15987000000.0,0.0,1241677211000000.0,1270359018000000.0,-28681807000000.0,145780067000000.0,67882480000000.0,78009747000000.0,-112160000000.0,30630840000000.0,1670837000000.0,213838980000000.0,1395697611000000.0,117752000000.0,365000000.0,19912623000000.0,43405902000000.0,61696139000000.0,0.0,0.0,27447116000000.0,53731430000000.0,306384000000.0,3375603000000.0,3798668000000.0,104261691000000.0,0.0,0.0,76546157000000.0,40331489000000.0,93990000000.0,312001875000000.0,30175707000000.0,-5675925000000.0,0.0,0.0,0.0,11790173000000.0,9265453000000.0,848268000000.0,8742409000000.0,0.0,-15463000000.0,193963218000000.0,19875762000000.0,19527028000000.0,0.0,23878874000000.0,0.0,826152000000.0,12073000000.0
2024,14268064000000.0,8092877000000.0,5530579000000.0,15808302000000.0,-10277723000000.0,0.0,0.0,0.0,2562298000000.0,5072735000000.0,-2510437000000.0,0.0,0.0,0.0,2228098000000.0,0.0,774176000000.0,1528922000000.0,-75000000000.0,2085873522000000.0,1889664354000000.0,196209168000000.0,55890913000000.0,4995389000000.0,809837000000.0,0.0,0.0,-968292000000.0,98332086000000.0,0.0,2085873522000000.0,49340493000000.0,389951898000000.0,4876237000000.0,4908527000000.0,-32290000000.0,1314434000000.0,1418015724000000.0,1449198899000000.0,-31183175000000.0,167383349000000.0,86799901000000.0,80829540000000.0,-246092000000.0,30402348000000.0,78237337000000.0,234533958000000.0,1514664850000000.0,0.0,529000000.0,24125059000000.0,38102621000000.0,61696139000000.0,0.0,0.0,37052974000000.0,58052470000000.0,286899000000.0,2420843000000.0,2429276000000.0,340865305000000.0,0.0,0.0,49750002000000.0,34816276000000.0,96261000000.0,384031890000000.0,6920008000000.0,-1000000000000.0,0.0,0.0,0.0,14040294000000.0,8868303000000.0,991748000000.0,6516040000000.0,0.0,-14037000000.0,223171381000000.0,11362577000000.0,13990276000000.0,0.0,24112345000000.0,0.0,763736000000.0,10440000000.0
2025,15542769000000.0,8163312000000.0,5618793000000.0,16271880000000.0,-10653087000000.0,0.0,0.0,0.0,2544519000000.0,5284812000000.0,-2740293000000.0,0.0,0.0,0.0,2260727000000.0,0.0,746638000000.0,1589089000000.0,-75000000000.0,2442279166000000.0,2217720440000000.0,224558726000000.0,83556751000000.0,4995389000000.0,809837000000.0,0.0,0.0,-918676000000.0,87822642000000.0,0.0,2442279166000000.0,37445504000000.0,522474362000000.0,11832577000000.0,11900000000000.0,-67423000000.0,374918000000.0,1648549996000000.0,1673525675000000.0,-24975679000000.0,162104164000000.0,143080817000000.0,22384962000000.0,-3361615000000.0,33530837000000.0,160128325000000.0,321158102000000.0,1672534846000000.0,0.0,0.0,27101221000000.0,36797946000000.0,89361977000000.0,0.0,0.0,48221262000000.0,93208941000000.0,5884776000000.0,5273045000000.0,5264724000000.0,204012086000000.0,0.0,0.0,59885411000000.0,32319442000000.0,71521000000.0,515588640000000.0,6885722000000.0,0.0,0.0,0.0,0.0,17577148000000.0,10007221000000.0,13072000000.0,5951102000000.0,0.0,-17706000000.0,305902847000000.0,15255255000000.0,15457974000000.0,0.0,21339972000000.0,0.0,734296000000.0,12342000000.0
