period,Tổng lợi nhuận/lỗ trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu (VND),Lãi trên cổ phiếu pha loãng (VND),Thu nhập lãi và các khoản thu nhập tương tự,Chi phí lãi và các chi phí tương tự,Thu nhập lãi thuần,Thu nhập từ dịch vụ,Chi phí dịch vụ,Lãi/Lỗ thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Thu nhập khác,Chi phí khác,Lãi/(lỗ) thuần từ hoạt động khác,Thu nhập từ cổ tức,Tổng thu nhập hoạt động,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Trích lập dự phòng tổn thất tín dụng
2018,10661016000000.0,-2185246000000.0,-1773000000.0,-2187019000000.0,8473997000000.0,-11222000000.0,8462775000000.0,3816.0,0.0,21413626000000.0,-10023687000000.0,11389939000000.0,4188317000000.0,-915737000000.0,3272580000000.0,233751000000.0,168433000000.0,756585000000.0,3147169000000.0,-1513392000000.0,1633777000000.0,894703000000.0,18349768000000.0,-5842507000000.0,12507261000000.0,-1846245000000.0
2019,12838268000000.0,-2612059000000.0,0.0,-2612059000000.0,10226209000000.0,-151070000000.0,10075139000000.0,2871.0,0.0,25016341000000.0,-10758497000000.0,14257844000000.0,4884408000000.0,-1631055000000.0,3253353000000.0,104581000000.0,397664000000.0,1243759000000.0,4425079000000.0,-2618351000000.0,1806728000000.0,4216000000.0,21068145000000.0,-7312509000000.0,13755636000000.0,-917368000000.0
2020,15800296000000.0,-3217829000000.0,0.0,-3217829000000.0,12582467000000.0,-257476000000.0,12324991000000.0,3515.0,0.0,29001912000000.0,-10250703000000.0,18751209000000.0,6048443000000.0,-1859665000000.0,4188778000000.0,745000000.0,321397000000.0,1496997000000.0,5460013000000.0,-3180804000000.0,2279209000000.0,4191000000.0,27042526000000.0,-8631195000000.0,18411331000000.0,-2611035000000.0
2021,23238293000000.0,-4840371000000.0,17460000000.0,-4822911000000.0,18415382000000.0,-363132000000.0,18052250000000.0,5137.0,0.0,35503251000000.0,-8804638000000.0,26698613000000.0,8239494000000.0,-1857254000000.0,6382240000000.0,231416000000.0,152305000000.0,1804408000000.0,4343731000000.0,-2540485000000.0,1803246000000.0,4063000000.0,37076291000000.0,-11173395000000.0,25902896000000.0,-2664603000000.0
2022,25567768000000.0,-5174932000000.0,43590000000.0,-5131342000000.0,20436426000000.0,-286049000000.0,20150377000000.0,5725.0,0.0,44752636000000.0,-14462861000000.0,30289775000000.0,10840337000000.0,-2687732000000.0,8152605000000.0,-275063000000.0,-241845000000.0,425553000000.0,4499949000000.0,-2332574000000.0,2167375000000.0,8791000000.0,40527191000000.0,-13023129000000.0,27504062000000.0,-1936294000000.0
2023,22888228000000.0,-4706721000000.0,9359000000.0,-4697362000000.0,18190866000000.0,-187064000000.0,18003802000000.0,2549.0,0.0,56707759000000.0,-29016639000000.0,27691120000000.0,11378085000000.0,-2663188000000.0,8714897000000.0,195750000000.0,64620000000.0,925833000000.0,6459694000000.0,-4025578000000.0,2434116000000.0,34756000000.0,40061092000000.0,-13251796000000.0,26809296000000.0,-3921068000000.0
2024,27538368000000.0,-5787711000000.0,9447000000.0,-5778264000000.0,21760104000000.0,-237176000000.0,21522928000000.0,3049.0,0.0,60089462000000.0,-24581499000000.0,35507963000000.0,10961642000000.0,-2919394000000.0,8042248000000.0,592556000000.0,81301000000.0,2359057000000.0,9324928000000.0,-8982217000000.0,342711000000.0,64561000000.0,46990397000000.0,-15369735000000.0,31620662000000.0,-4082294000000.0
2025,32538066000000.0,-6544225000000.0,-39369000000.0,-6583594000000.0,25954472000000.0,-664242000000.0,25290230000000.0,3572.0,0.0,68017450000000.0,-29862359000000.0,38155091000000.0,12526963000000.0,-3754968000000.0,8771995000000.0,1642201000000.0,51974000000.0,2846321000000.0,6426334000000.0,-4541992000000.0,1884342000000.0,39201000000.0,53391125000000.0,-16432434000000.0,36958691000000.0,-4420625000000.0
