period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018,2606467000000.0,1718596000000.0,788016000000.0,1835272000000.0,-1047256000000.0,0.0,0.0,0.0,930580000000.0,1540037000000.0,-609457000000.0,1196324000000.0,1435699000000.0,-239375000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,320988941000000.0,269206236000000.0,51782705000000.0,34965922000000.0,476617000000.0,0.0,0.0,0.0,0.0,12403003000000.0,0.0,320988941000000.0,10555483000000.0,35559363000000.0,7572229000000.0,7583090000000.0,-10861000000.0,0.0,157554103000000.0,159939217000000.0,-2385114000000.0,86512348000000.0,66625261000000.0,20236200000000.0,-349113000000.0,17701805000000.0,6025027000000.0,36425560000000.0,201414532000000.0,310313000000.0,0.0,13177959000000.0,11852845000000.0,35442539000000.0,0.0,0.0,3867846000000.0,19043774000000.0,38509000000.0,3305927000000.0,7472531000000.0,149821837000000.0,0.0,0.0,12163321000000.0,210068172000000.0,69317000000.0,24169512000000.0,11389851000000.0,0.0,0.0,1682000000.0,-1682000000.0,11322256000000.0,5737907000000.0,0.0,717481000000.0,0.0,-75839000000.0,28973455000000.0,7452105000000.0,3424068000000.0,0.0,8428777000000.0,0.0,0.0,0.0
2019,4820627000000.0,3207777000000.0,793484000000.0,1761468000000.0,-967984000000.0,0.0,0.0,0.0,2414293000000.0,3086148000000.0,-671855000000.0,1160524000000.0,1435699000000.0,-275175000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,383699461000000.0,321626694000000.0,62072767000000.0,35001400000000.0,476567000000.0,0.0,0.0,0.0,0.0,21131391000000.0,0.0,383699461000000.0,3192256000000.0,47990224000000.0,10041556000000.0,10052963000000.0,-11407000000.0,0.0,227885283000000.0,230802027000000.0,-2916744000000.0,66054597000000.0,66158709000000.0,202006000000.0,-306118000000.0,19334394000000.0,0.0,61266635000000.0,231296761000000.0,434008000000.0,0.0,17460634000000.0,11168656000000.0,35477967000000.0,0.0,0.0,5172684000000.0,22285888000000.0,38509000000.0,1108119000000.0,5611861000000.0,221756824000000.0,0.0,0.0,21909553000000.0,260721927000000.0,290725000000.0,38596420000000.0,9393804000000.0,0.0,0.0,1682000000.0,-1682000000.0,12954103000000.0,5553724000000.0,0.0,1055475000000.0,0.0,-228908000000.0,38632337000000.0,22634298000000.0,3479310000000.0,0.0,7689346000000.0,0.0,0.0,0.0
2020,3663615000000.0,4613423000000.0,1470942000000.0,2416349000000.0,-945407000000.0,0.0,0.0,0.0,3142481000000.0,3923203000000.0,-780722000000.0,1124724000000.0,1435699000000.0,-310975000000.0,11806000000.0,0.0,0.0,12466000000.0,-660000000.0,439602933000000.0,364988147000000.0,74614786000000.0,35049062000000.0,476507000000.0,0.0,0.0,0.0,0.0,31815705000000.0,0.0,439602933000000.0,10253324000000.0,28994954000000.0,8347576000000.0,8357447000000.0,-9871000000.0,0.0,275310367000000.0,277524615000000.0,-2214248000000.0,84447241000000.0,84632952000000.0,200000000000.0,-385711000000.0,22835903000000.0,0.0,47484812000000.0,277458651000000.0,266926000000.0,0.0,27899640000000.0,11878118000000.0,35525569000000.0,0.0,0.0,6789643000000.0,21121837000000.0,34868000000.0,1605493000000.0,3004364000000.0,181340703000000.0,0.0,0.0,30880187000000.0,302318864000000.0,483869000000.0,21112630000000.0,7882324000000.0,0.0,0.0,1682000000.0,-1682000000.0,16572411000000.0,5184822000000.0,0.0,1268562000000.0,0.0,-189892000000.0,21232089000000.0,26252723000000.0,3252009000000.0,0.0,8626109000000.0,0.0,0.0,0.0
2021,3578643000000.0,7224481000000.0,3628732000000.0,4824092000000.0,-1195360000000.0,0.0,0.0,0.0,3595749000000.0,4541141000000.0,-945392000000.0,1088924000000.0,1435699000000.0,-346775000000.0,12813000000.0,0.0,0.0,13962000000.0,-1149000000.0,568728950000000.0,475687478000000.0,93041472000000.0,35109148000000.0,476474000000.0,0.0,0.0,0.0,0.0,47453056000000.0,0.0,568728950000000.0,4908529000000.0,70515258000000.0,5070812000000.0,5074479000000.0,-3667000000.0,293768000000.0,343605581000000.0,347341244000000.0,-3735663000000.0,97586088000000.0,98092062000000.0,200000000000.0,-705974000000.0,34710635000000.0,842000000.0,112458691000000.0,314752525000000.0,0.0,0.0,33679824000000.0,14795596000000.0,35585622000000.0,0.0,0.0,9155896000000.0,30068017000000.0,56682000000.0,1147456000000.0,3155974000000.0,275039014000000.0,0.0,0.0,47054297000000.0,358478746000000.0,846898000000.0,39450727000000.0,31064531000000.0,0.0,133418000000.0,136108000000.0,-2690000000.0,28117180000000.0,5807801000000.0,17460000000.0,1448617000000.0,0.0,-680423000000.0,45606142000000.0,66852549000000.0,3121881000000.0,0.0,11673715000000.0,0.0,0.0,0.0
2022,4215721000000.0,8411382000000.0,3696812000000.0,5156346000000.0,-1459534000000.0,0.0,0.0,0.0,4714570000000.0,5913538000000.0,-1198968000000.0,1053124000000.0,1435699000000.0,-382575000000.0,12813000000.0,0.0,0.0,13962000000.0,-1149000000.0,699032544000000.0,585607578000000.0,113424966000000.0,35172385000000.0,476415000000.0,555997000000.0,0.0,0.0,0.0,64482685000000.0,0.0,699032544000000.0,11475590000000.0,82873754000000.0,961034000000.0,961034000000.0,0.0,0.0,415752256000000.0,420523705000000.0,-4771449000000.0,103651920000000.0,104031921000000.0,0.0,-380001000000.0,70517225000000.0,7826000000.0,167562969000000.0,358403785000000.0,1851213000000.0,0.0,34006619000000.0,23775166000000.0,36204797000000.0,0.0,0.0,11608569000000.0,44870251000000.0,13253457000000.0,2450745000000.0,1361969000000.0,356308029000000.0,0.0,0.0,64666942000000.0,449697675000000.0,1128915000000.0,69925143000000.0,13049711000000.0,-101100000000.0,107725000000.0,110221000000.0,-2496000000.0,61609133000000.0,8028730000000.0,61050000000.0,1616735000000.0,0.0,-798423000000.0,61293738000000.0,106269231000000.0,6144022000000.0,0.0,17631144000000.0,0.0,0.0,0.0
2023,3620695000000.0,8892697000000.0,3527586000000.0,5492566000000.0,-1964980000000.0,0.0,0.0,0.0,5365111000000.0,7198784000000.0,-1833673000000.0,0.0,0.0,0.0,3046245000000.0,0.0,0.0,3047394000000.0,-1149000000.0,849482012000000.0,717865947000000.0,131616065000000.0,35225108000000.0,476356000000.0,555997000000.0,0.0,0.0,0.0,49013144000000.0,0.0,849482012000000.0,27140592000000.0,104072320000000.0,4432778000000.0,4432778000000.0,0.0,143611000000.0,512513672000000.0,518641568000000.0,-6127896000000.0,104993945000000.0,105356248000000.0,0.0,-362303000000.0,80543424000000.0,131000000.0,153173002000000.0,454660779000000.0,0.0,0.0,84703300000000.0,25328735000000.0,36257461000000.0,0.0,0.0,45028627000000.0,57648065000000.0,14935065000000.0,4593012000000.0,4415918000000.0,341592612000000.0,0.0,0.0,67845653000000.0,176065387000000.0,1316833000000.0,80126897000000.0,24046523000000.0,-101100000000.0,82033000000.0,84335000000.0,-2302000000.0,69834157000000.0,9681140000000.0,70409000000.0,1650584000000.0,0.0,-692866000000.0,50619678000000.0,102553324000000.0,9418750000000.0,0.0,15909985000000.0,0.0,0.0,0.0
2024,3384770000000.0,12466885000000.0,6576699000000.0,9080615000000.0,-2503916000000.0,0.0,0.0,0.0,5890186000000.0,8485022000000.0,-2594836000000.0,0.0,0.0,0.0,3102523000000.0,0.0,0.0,3103672000000.0,-1149000000.0,978798549000000.0,830858928000000.0,147939621000000.0,70648517000000.0,-59000000.0,7764086000000.0,0.0,0.0,0.0,42219306000000.0,0.0,978798549000000.0,54353153000000.0,84590474000000.0,9000644000000.0,9000895000000.0,-251000000.0,0.0,623634271000000.0,631724964000000.0,-8090693000000.0,148623636000000.0,142202792000000.0,6900000000000.0,-479156000000.0,39500565000000.0,11531000000.0,132239088000000.0,533392350000000.0,931231000000.0,0.0,140422321000000.0,23862407000000.0,78412544000000.0,0.0,0.0,24787305000000.0,58558478000000.0,11507947000000.0,3062641000000.0,3511618000000.0,262819403000000.0,0.0,0.0,38065747000000.0,213069830000000.0,2520466000000.0,74887085000000.0,9884539000000.0,-181150000000.0,141628000000.0,144380000000.0,-2752000000.0,29540943000000.0,8125964000000.0,79856000000.0,1818676000000.0,0.0,-64874000000.0,72210834000000.0,60028254000000.0,7281567000000.0,0.0,16580840000000.0,0.0,0.0,0.0
2025,4360821000000.0,12122934000000.0,6343732000000.0,9539276000000.0,-3195544000000.0,0.0,0.0,0.0,5779202000000.0,9535997000000.0,-3756795000000.0,0.0,0.0,0.0,3246622000000.0,0.0,32263000000.0,3215508000000.0,-1149000000.0,1192344137000000.0,1012842695000000.0,179501442000000.0,70862404000000.0,-124000000.0,7764086000000.0,0.0,0.0,0.0,62773576000000.0,0.0,1192344137000000.0,82162772000000.0,114958312000000.0,4815777000000.0,4816831000000.0,-1054000000.0,0.0,757118751000000.0,767617129000000.0,-10498378000000.0,145526404000000.0,145942288000000.0,0.0,-415884000000.0,68001097000000.0,4323867000000.0,144982976000000.0,618911535000000.0,2416947000000.0,0.0,215330128000000.0,26877242000000.0,78626366000000.0,0.0,0.0,28644562000000.0,122225620000000.0,14965995000000.0,6372664000000.0,7295512000000.0,403653327000000.0,0.0,0.0,64314200000000.0,182638941000000.0,9456938000000.0,108143393000000.0,6996069000000.0,-181150000000.0,30647000000.0,32561000000.0,-1914000000.0,56111402000000.0,9787070000000.0,40487000000.0,2070439000000.0,0.0,-8301000000.0,83014313000000.0,61968663000000.0,9448719000000.0,0.0,17428523000000.0,0.0,0.0,32263000000.0
