period,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113
2018,3496592160,85142019096000.0,0.0,20.4833705014,3.340172852,9.4132882051,577.8292544124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153125546,0.0287068601,0.0,0.0,0.0,0.6816032224,0.0,0.5809891438,0.4618040402,0.0,0.0422324183,0.0793989512,-0.0406658836,0.5324985498,-0.3183967776,-0.0056563596,0.1780636993,0.1923532893,0.3237649025,0.1613223958,0.7940798284,0.0175282151,-0.8507784518,0.0149126277,-0.0115106771,0.0,0.0,0.0,0.0,0.0,0.0,-0.3183967776,0.143,,0.2869760808,54612613000000.0,3188540000000.0,0.0,201414532000000.0
2019,3500139962,59852393350200.0,0.0,17.1992962596,2.7986597788,8.2070308516,13.6882224721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1796349147,0.0290233498,0.0,0.0,0.0,0.6529115876,0.0,0.6093686938,0.4853872517,0.0,0.0445136474,0.0781021718,0.0,0.4773572358,-0.3470884124,0.4430608786,0.1483618322,0.1929963158,0.2689437689,0.1617744441,0.9978610422,0.0133355675,-0.9476483133,0.012637428,-0.0046955268,0.0,0.0,0.0,0.0,0.0,0.0,-0.3470884124,0.1551,,0.3446464864,76053396000000.0,3662220000000.0,0.0,231296761000000.0
2020,3504906230,138268550773500.0,0.0,14.2452802965,2.3639976017,6.4803602297,-17.370856246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841055272,0.0305658458,0.0,0.0,0.0,0.6808288175,0.0,0.584275892,0.465284456,0.0,0.0500526601,0.0774148933,0.0,0.4419515563,-0.3191711825,0.2024357784,0.199578627,0.2044307099,0.2688582633,0.1697322297,1.0002377435,0.0046669446,-1.7095905472,0.0079785644,-0.0102730598,0.0,0.0,0.0,0.0,0.0,0.0,-0.3191711825,0.1608,,0.4614684982,122972489000000.0,5065938000000.0,0.0,277458651000000.0
2021,3510914798,160097714788800.0,0.0,5.0380752782,0.9844087742,2.4478486152,7.0748038703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196802221,0.0365264301,0.0,0.0,0.0,0.6986377359,0.0,0.6267696248,0.4966888948,0.0,0.0579415057,0.077049389,-0.0216400402,0.3885450903,-0.3013622641,0.251569141,0.1344123669,0.1955936961,0.267867619,0.1635954561,1.1035375935,0.0066040934,-1.6285388823,0.0107550228,-0.00852856,0.0,0.0,0.0,0.0,0.0,0.0,-0.3013622641,0.1504,,0.504708488,147861145000000.0,10997126000000.0,0.0,314752525000000.0
2022,3517238514,101648193054600.0,0.0,5.5611618806,0.9960117324,2.7345353659,2.0164270222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979636613,0.0322401747,0.0,0.0,0.0,0.6724367563,0.0,0.6250970122,0.4996427077,0.0,0.0531923979,0.0785908783,-0.0283342979,0.350069091,-0.3275632437,0.2106932657,0.1386843839,0.1936876678,0.2697231206,0.1622599219,1.1733238392,0.0072115197,-1.5733777614,0.0113464448,-0.0050433191,0.0,0.0,0.0,0.0,0.0,0.0,-0.3275632437,0.1518,,0.3695882788,123079324000000.0,9382514000000.0,0.0,358403785000000.0
2023,3522510811,166967012441400.0,0.060851927,4.8228641495,0.6663883577,2.167436954,7.2038350385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484720002,0.0234946012,0.0,0.0,0.0,0.6692103151,0.0,0.571333103,0.4540781365,0.0,0.0403256975,0.0825817061,-0.0463332734,0.4454574607,-0.3307896849,0.2333230252,0.2685713657,0.1833435136,0.2537707602,0.1549368476,1.1407220327,0.0115670308,-1.0214618988,0.0118152813,-0.0083501128,0.0,0.0,0.0,0.0,0.0,0.0,-0.3307896849,0.1435,,0.3991410726,172755713000000.0,8718078000000.0,0.0,454660779000000.0
2024,7064851739,183686145214000.0,0.0286532951,11.4750384201,1.6955353944,5.2471002603,5.8183900114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1556763471,0.0238039002,0.0,0.0,0.0,0.6729175325,0.0,0.5860424631,0.4630755514,0.0,0.0424193307,0.0717854404,-0.0328058961,0.3215580967,-0.3270824675,0.2180376641,0.1731655217,0.1780562452,0.2341835916,0.1511440951,1.1843532514,0.0112403346,-1.1394058416,0.012807303,-0.0070973796,0.0,0.0,0.0,0.0,0.0,0.0,-0.3270824675,0.154,,0.3735381769,191719796000000.0,7522610000000.0,0.0,533392350000000.0
2025,7086240414,225696757185900.0,0.0209580838,9.3585716445,1.3918734437,4.4329545287,5.9283311788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585291213,0.0239085825,0.0,0.0,0.0,0.6922253652,0.0,0.6094283647,0.4861195938,0.0,0.0375994307,0.0670268982,-0.0333729647,0.3982910957,-0.3077746348,0.215112862,0.1603307303,0.1772253904,0.2338424134,0.1505449949,1.2402695468,0.0106802919,-1.2805437663,0.0136765812,-0.0063181477,0.0,0.0,0.0,0.0,0.0,0.0,-0.3077746348,0.1461,,0.3587434188,213415080000000.0,8615360000000.0,0.0,618911535000000.0
