period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018,9926403000000.0,0.0,298932000000.0,-401574000000.0,6097000000.0,-799000000.0,915560000000.0,275000000.0,519470000000.0,0.0,0.0,13699378000000.0,22681199000000.0,0.0,37198979000000.0,-2140758000000.0,0.0,2576067000000.0,-35935551000000.0,36292000000.0,909820000000.0,0.0,-2553203000000.0,-3308223000000.0,4024907000000.0,-9898265000000.0,31443819000000.0,310313000000.0,0.0,-1762011000000.0,0.0,4528623000000.0,298991000000.0,-59000000.0,0.0,-89000000.0,0.0,0.0,0.0,310000000000.0,-3010000000000.0,0.0,16399378000000.0,20445343000000.0,-9797235000000.0,2966562000000.0,0.0,1310321000000.0,151294000000.0,-4432019000000.0,1422895000000.0,1310321000000.0
2019,13007909000000.0,0.0,12631802000000.0,-257620000000.0,31428000000.0,0.0,0.0,4216000000.0,-222244000000.0,35428000000.0,0.0,-3094234000000.0,37198979000000.0,0.0,46514303000000.0,-2678919000000.0,0.0,2033530000000.0,18030873000000.0,0.0,-70862810000000.0,0.0,-257259000000.0,-4670454000000.0,-4024907000000.0,24841075000000.0,27882109000000.0,123695000000.0,0.0,7482675000000.0,0.0,-944721000000.0,12641715000000.0,-9913000000.0,0.0,-268000000.0,0.0,0.0,0.0,0.0,-3200000000000.0,0.0,70338000000.0,25677175000000.0,-10865013000000.0,3170716000000.0,0.0,1703869000000.0,485024000000.0,-5565179000000.0,1080236000000.0,1703869000000.0
2020,17631283000000.0,0.0,-10088467000000.0,-665860000000.0,6837000000.0,0.0,0.0,4191000000.0,-655391000000.0,47602000000.0,-65086000000.0,-174546000000.0,46514303000000.0,0.0,35595899000000.0,-2881901000000.0,0.0,1401381000000.0,-16005291000000.0,0.0,-46722588000000.0,0.0,-3363570000000.0,-6261043000000.0,0.0,-13781823000000.0,46161890000000.0,-167082000000.0,0.0,10596719000000.0,0.0,422272000000.0,-10087852000000.0,-615000000.0,0.0,-559000000.0,0.0,0.0,0.0,0.0,-157713000000.0,0.0,651000000.0,28933307000000.0,-10155492000000.0,4140309000000.0,1897196000000.0,0.0,1190483000000.0,-6752272000000.0,1259653000000.0,1897196000000.0
2021,23061616000000.0,0.0,12828221000000.0,-939995000000.0,57506000000.0,-1497000000.0,0.0,4043000000.0,-879943000000.0,60053000000.0,0.0,60053000000.0,35595899000000.0,0.0,47604230000000.0,-4829911000000.0,0.0,-23454273000000.0,-10804075000000.0,-293768000000.0,-69816629000000.0,0.0,-626647000000.0,-15607626000000.0,0.0,64973879000000.0,37294716000000.0,-266926000000.0,0.0,5780184000000.0,0.0,2598519000000.0,12838970000000.0,-10749000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35224259000000.0,-9042851000000.0,5958416000000.0,2502188000000.0,0.0,816228000000.0,-8687948000000.0,1121235000000.0,2502188000000.0
2022,29013569000000.0,0.0,55468501000000.0,-1110111000000.0,44111000000.0,0.0,0.0,8776000000.0,-1057275000000.0,65072000000.0,-74648000000.0,-709576000000.0,47604230000000.0,0.0,101305880000000.0,-2301394000000.0,0.0,18490986000000.0,13920515000000.0,293768000000.0,-73182461000000.0,0.0,-683006000000.0,-36029613000000.0,0.0,55104278000000.0,43658244000000.0,1851213000000.0,0.0,1026795000000.0,0.0,2009069000000.0,55473357000000.0,-4856000000.0,0.0,-51000000.0,0.0,0.0,0.0,0.0,-700000000000.0,0.0,0.0,43558389000000.0,-12185090000000.0,8076844000000.0,0.0,-420995000000.0,605946000000.0,-9631184000000.0,1311053000000.0,-420995000000.0
2023,24938816000000.0,0.0,12053287000000.0,-1232358000000.0,22156000000.0,-3033432000000.0,0.0,34756000000.0,-2912466000000.0,52664000000.0,854000000.0,53518000000.0,101305880000000.0,0.0,110500219000000.0,-5048936000000.0,0.0,-12287858000000.0,-19582416000000.0,-143611000000.0,-98117863000000.0,0.0,-2667877000000.0,-9317279000000.0,0.0,-14389967000000.0,96249299000000.0,-1851213000000.0,0.0,50696681000000.0,0.0,-1468412000000.0,12058300000000.0,-5013000000.0,0.0,-35000000.0,0.0,1296447000000.0,0.0,0.0,0.0,0.0,0.0,53749365000000.0,-25941911000000.0,9134752000000.0,0.0,1168505000000.0,1384616000000.0,-10339365000000.0,831790000000.0,1168505000000.0
2024,31037437000000.0,0.0,42376555000000.0,-1618886000000.0,1741528000000.0,-56278000000.0,0.0,64561000000.0,-382599000000.0,200495000000.0,-5210255000000.0,-5009760000000.0,110500219000000.0,0.0,147484415000000.0,-4089321000000.0,0.0,12721924000000.0,-31627229000000.0,143611000000.0,-113083396000000.0,0.0,-2670781000000.0,34701809000000.0,0.0,-20933914000000.0,78742971000000.0,931231000000.0,0.0,55719021000000.0,0.0,-3303550000000.0,42379134000000.0,-2579000000.0,0.0,-1249743000000.0,0.0,736219000000.0,0.0,0.0,0.0,0.0,0.0,61748921000000.0,-26124464000000.0,7679933000000.0,0.0,3150018000000.0,-2359679000000.0,-10106171000000.0,1138200000000.0,3150018000000.0
2025,33290586000000.0,0.0,39923618000000.0,-657030000000.0,3503000000.0,-199836000000.0,0.0,39938000000.0,-816440000000.0,12320661000000.0,-7084911000000.0,5235750000000.0,147484415000000.0,0.0,191827343000000.0,-7177741000000.0,0.0,1553157000000.0,-9019169000000.0,0.0,-135892165000000.0,0.0,-2072791000000.0,-29615168000000.0,4306722000000.0,12743888000000.0,85524799000000.0,1485716000000.0,0.0,74907807000000.0,0.0,2712170000000.0,39925552000000.0,-1934000000.0,0.0,-3015000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67231128000000.0,-27761618000000.0,8396946000000.0,0.0,4478027000000.0,96244000000.0,-13326686000000.0,1354286000000.0,4478027000000.0
